log10_A,A,sigma_pooled,mean_n,per_event_sigma,null_mean,null_std,delta_from_5314
-2.540612,2.879968e-03,0.277287,5.361865,0.26705,0.277287,0.0,0.047865
-2.533935,2.924593e-03,0.277287,5.350773,0.26705,0.277287,0.0,0.036773
-2.527257,2.969909e-03,0.277287,5.339681,0.26705,0.277287,0.0,0.025681
-2.520579,3.015928e-03,0.277287,5.32859,0.26705,0.277287,0.0,0.01459
-2.513901,3.062660e-03,0.277287,5.317498,0.26705,0.277287,0.0,0.003498
-2.507223,3.110116e-03,0.277287,5.306407,0.26705,0.277287,0.0,0.007593
-2.500546,3.158307e-03,0.277287,5.295315,0.26705,0.277287,0.0,0.018685
-2.493868,3.207245e-03,0.277287,5.284223,0.26705,0.277287,0.0,0.029777
-2.48719,3.256942e-03,0.277287,5.273132,0.26705,0.277287,0.0,0.040868
-2.480512,3.307408e-03,0.277287,5.26204,0.26705,0.277287,0.0,0.05196
-2.473834,3.358656e-03,0.277287,5.250949,0.26705,0.277287,0.0,0.063051
-2.467157,3.410699e-03,0.277287,5.239857,0.26705,0.277287,0.0,0.074143
-2.460479,3.463548e-03,0.277287,5.228766,0.26705,0.277287,0.0,0.085234
-2.453801,3.517215e-03,0.277287,5.217674,0.26705,0.277287,0.0,0.096326
-2.447123,3.571715e-03,0.277287,5.206582,0.26705,0.277287,0.0,0.107418
-2.440445,3.627058e-03,0.277287,5.195491,0.26705,0.277287,0.0,0.118509
-2.433768,3.683260e-03,0.277287,5.184399,0.26705,0.277287,0.0,0.129601
-2.42709,3.740332e-03,0.277287,5.173308,0.26705,0.277287,0.0,0.140692
-2.420412,3.798288e-03,0.277287,5.162216,0.26705,0.277287,0.0,0.151784
-2.413734,3.857143e-03,0.277287,5.151125,0.26705,0.277287,0.0,0.162875
-2.407056,3.916909e-03,0.277287,5.140033,0.26705,0.277287,0.0,0.173967
-2.400379,3.977602e-03,0.277287,5.128941,0.26705,0.277287,0.0,0.185059
-2.393701,4.039235e-03,0.277287,5.11785,0.26705,0.277287,0.0,0.19615
-2.387023,4.101823e-03,0.277287,5.106758,0.26705,0.277287,0.0,0.207242
-2.380345,4.165381e-03,0.277287,5.095667,0.26705,0.277287,0.0,0.218333
-2.373667,4.229924e-03,0.277287,5.084575,0.26705,0.277287,0.0,0.229425
-2.36699,4.295466e-03,0.277287,5.073483,0.26705,0.277287,0.0,0.240517
-2.360312,4.362025e-03,0.277287,5.062392,0.26705,0.277287,0.0,0.251608
-2.353634,4.429614e-03,0.277287,5.0513,0.26705,0.277287,0.0,0.2627
-2.346956,4.498251e-03,0.277287,5.040209,0.26705,0.277287,0.0,0.273791
-2.340279,4.567952e-03,0.277287,5.029117,0.26705,0.277287,0.0,0.284883
