event,catalog,waveform,af_source,M_total_Msun,chi_eff_med,a_final_med,redshift,n_seraphim,n_sph_std,n_carrier_schwarz,n_carrier_kerr_binary,n_carrier_kerr_remnant,kerr_remnant_delta,gap_schwarz,gap_kerr_binary,gap_kerr_remnant,delta_schwarz,delta_kerr_binary,delta_kerr_remnant,log2_M,alpha_inv,n_BBH_theory
GW190521_074359,GWTC-2.1,C01:IMRPhenomXPHM,posterior,76.6533,0.0726,0.7011,0.1914,5.374768,0.050558,137.892208,137.811735,136.809299,-1.082909,132.51744,132.436967,131.434531,-4.518559,-4.599032,-5.601468,6.260276,137.035999,5.313987
GW190527_092055,GWTC-2.1,C01:IMRPhenomXPHM,posterior,59.5505,0.0831,0.702,0.4389,5.312568,0.26509,137.527974,137.435485,136.442871,-1.085103,132.215406,132.122917,131.130303,-4.820593,-4.913082,-5.905696,5.896042,137.035999,5.313987
GW190527_092055,GWTC-2.1,C01:IMRPhenomXPHM,posterior,59.0755,0.1206,0.7235,0.5435,5.342713,0.233143,137.51642,137.380172,136.377971,-1.138449,132.173707,132.037459,131.035258,-4.862292,-4.99854,-6.000741,5.884488,137.035999,5.313987
GW190602_175927,GWTC-2.1,C01:IMRPhenomXPHM,posterior,115.6461,0.1159,0.7166,0.4895,5.340886,0.181177,138.485505,138.354802,137.364248,-1.121257,133.144619,133.013917,132.023362,-3.89138,-4.022082,-5.012637,6.853573,137.035999,5.313987
GW190602_175927,GWTC-2.1,C01:IMRPhenomXPHM,posterior,113.3806,0.1521,0.7346,0.5509,5.36729,0.165953,138.456962,138.282992,137.290018,-1.166945,133.089673,132.915702,131.922728,-3.946326,-4.120297,-5.113271,6.82503,137.035999,5.313987
GW190620_030421,GWTC-2.1,C01:IMRPhenomXPHM,posterior,90.6749,0.3065,0.797,0.513,5.405048,0.255465,138.134564,137.760132,136.791269,-1.343294,132.729516,132.355084,131.386221,-4.306484,-4.680915,-5.649778,6.502632,137.035999,5.313987
GW190620_030421,GWTC-2.1,C01:IMRPhenomXPHM,posterior,88.8469,0.3327,0.8068,0.5709,5.439634,0.214965,138.105181,137.693812,136.731295,-1.373886,132.665546,132.254177,131.29166,-4.370453,-4.781822,-5.744339,6.473249,137.035999,5.313987
GW190630_185205,GWTC-2.1,C01:IMRPhenomXPHM,posterior,59.3298,0.0918,0.7023,0.1683,5.36844,0.081258,137.522616,137.420042,136.436613,-1.086004,132.154176,132.051603,131.068173,-4.881823,-4.984397,-5.967826,5.890684,137.035999,5.313987
GW190630_185205,GWTC-2.1,C01:IMRPhenomXPHM,posterior,58.8757,0.0941,0.7017,0.1818,5.365539,0.08254,137.511533,137.40632,136.427139,-1.084394,132.145994,132.040782,131.0616,-4.890005,-4.995217,-5.974399,5.879601,137.035999,5.313987
GW190701_203306,GWTC-2.1,C01:IMRPhenomXPHM,posterior,93.6781,-0.097,0.657,0.38,5.29592,0.106625,138.181572,138.282849,137.200562,-0.98101,132.885653,132.986929,131.904642,-4.150346,-4.04907,-5.131357,6.54964,137.035999,5.313987
