gamma,mean_n,median_n,chi2,delta_n
0.554855,5.868586,5.939000,0.30756563,0.554586
0.555405,5.869301,5.939715,0.30835964,0.555301
0.555956,5.870016,5.940430,0.30915388,0.556016
0.556507,5.870730,5.941144,0.30994836,0.556730
0.557057,5.871443,5.941857,0.31074307,0.557443
0.557608,5.872156,5.942570,0.31153802,0.558156
0.558158,5.872868,5.943282,0.31233319,0.558868
0.558709,5.873579,5.943993,0.31312859,0.559579
0.559259,5.874289,5.944703,0.31392421,0.560289
0.559810,5.874999,5.945413,0.31472007,0.560999
0.560360,5.875708,5.946122,0.31551614,0.561708
0.560911,5.876417,5.946831,0.31631244,0.562417
0.561461,5.877124,5.947538,0.31710896,0.563124
0.562012,5.877831,5.948245,0.31790570,0.563831
0.562563,5.878538,5.948952,0.31870265,0.564538
0.563113,5.879243,5.949657,0.31949983,0.565243
0.563664,5.879948,5.950362,0.32029722,0.565948
0.564214,5.880652,5.951066,0.32109482,0.566652
0.564765,5.881356,5.951770,0.32189263,0.567356
0.565315,5.882059,5.952473,0.32269066,0.568059
0.565866,5.882761,5.953175,0.32348889,0.568761
0.566416,5.883462,5.953876,0.32428734,0.569462
0.566967,5.884163,5.954577,0.32508599,0.570163
0.567518,5.884863,5.955277,0.32588485,0.570863
0.568068,5.885563,5.955977,0.32668391,0.571563
0.568619,5.886261,5.956675,0.32748317,0.572261
0.569169,5.886960,5.957374,0.32828264,0.572960
0.569720,5.887657,5.958071,0.32908230,0.573657
0.570270,5.888354,5.958768,0.32988217,0.574354
0.570821,5.889050,5.959464,0.33068223,0.575050
0.571371,5.889745,5.960159,0.33148249,0.575745
0.571922,5.890440,5.960854,0.33228294,0.576440
0.572472,5.891134,5.961548,0.33308359,0.577134
0.573023,5.891827,5.962241,0.33388443,0.577827
0.573574,5.892520,5.962934,0.33468546,0.578520
0.574124,5.893212,5.963626,0.33548668,0.579212
0.574675,5.893904,5.964318,0.33628809,0.579904
0.575225,5.894594,5.965008,0.33708969,0.580594
0.575776,5.895284,5.965698,0.33789147,0.581284
0.576326,5.895974,5.966388,0.33869344,0.581974
0.576877,5.896663,5.967077,0.33949559,0.582663
0.577427,5.897351,5.967765,0.34029793,0.583351
0.577978,5.898038,5.968452,0.34110044,0.584038
0.578529,5.898725,5.969139,0.34190313,0.584725
0.579079,5.899411,5.969825,0.34270601,0.585411
0.579630,5.900096,5.970510,0.34350906,0.586096
0.580180,5.900781,5.971195,0.34431228,0.586781
0.580731,5.901465,5.971879,0.34511568,0.587465
0.581281,5.902149,5.972563,0.34591926,0.588149
0.581832,5.902832,5.973246,0.34672300,0.588832
0.582382,5.903514,5.973928,0.34752692,0.589514
0.582933,5.904196,5.974610,0.34833101,0.590196
0.583483,5.904877,5.975291,0.34913527,0.590877
0.584034,5.905557,5.975971,0.34993969,0.591557
0.584585,5.906237,5.976651,0.35074428,0.592237
0.585135,5.906916,5.977330,0.35154904,0.592916
0.585686,5.907594,5.978008,0.35235396,0.593594
0.586236,5.908272,5.978686,0.35315904,0.594272
0.586787,5.908949,5.979363,0.35396428,0.594949
0.587337,5.909625,5.980039,0.35476969,0.595625
0.587888,5.910301,5.980715,0.35557525,0.596301
0.588438,5.910977,5.981391,0.35638098,0.596977
0.588989,5.911651,5.982065,0.35718686,0.597651
0.589540,5.912325,5.982739,0.35799289,0.598325
0.590090,5.912998,5.983412,0.35879908,0.598998
0.590641,5.913671,5.984085,0.35960543,0.599671
0.591191,5.914343,5.984757,0.36041192,0.600343
0.591742,5.915015,5.985429,0.36121857,0.601015
0.592292,5.915685,5.986099,0.36202537,0.601685
0.592843,5.916356,5.986770,0.36283232,0.602356
0.593393,5.917025,5.987439,0.36363941,0.603025
0.593944,5.917694,5.988108,0.36444665,0.603694
0.594494,5.918363,5.988777,0.36525404,0.604363
0.595045,5.919030,5.989444,0.36606158,0.605030
0.595596,5.919697,5.990111,0.36686925,0.605697
0.596146,5.920364,5.990778,0.36767707,0.606364
0.596697,5.921030,5.991444,0.36848503,0.607030
0.597247,5.921695,5.992109,0.36929313,0.607695
0.597798,5.922360,5.992774,0.37010137,0.608360
0.598348,5.923024,5.993438,0.37090975,0.609024
0.598899,5.923687,5.994101,0.37171827,0.609687
0.599449,5.924350,5.994764,0.37252692,0.610350
0.600000,5.925012,5.995426,0.37333571,0.611012
