event,catalog,wf_key,n_samples,erad_field,median_M,median_E,median_n_your_K0,std_n_your_K0,delta_from_pred,in_bbh_band
GW191222_033537,GWTC-3,C01:IMRPhenomXPHM,135537,radiated_energy,76.5762,3.445880,5.325632,0.093478,0.011632,1
GW191230_180458,GWTC-3,C01:IMRPhenomXPHM,21752,radiated_energy,85.1422,3.776123,5.315476,0.125084,0.001476,1
GW191230_180458,GWTC-3,C01:IMRPhenomXPHM,139585,radiated_energy,82.4549,3.706887,5.325103,0.111439,0.011103,1
GW200105_162426,GWTC-3,C01:IMRPhenomXPHM:HighSpin,20000,radiated_energy,10.9488,0.204426,4.688224,0.136692,-0.625776,1
GW200105_162426,GWTC-3,C01:IMRPhenomXPHM,20000,radiated_energy,10.9488,0.204426,4.688224,0.136692,-0.625776,1
GW200112_155838,GWTC-3,C01:IMRPhenomXPHM,68706,radiated_energy,63.3550,2.982515,5.361168,0.066228,0.047168,1
GW200112_155838,GWTC-3,C01:IMRPhenomXPHM,157304,radiated_energy,63.0319,2.976419,5.363331,0.065693,0.049331,1
GW200115_042309,GWTC-3,C01:IMRPhenomXPHM:HighSpin,16089,radiated_energy,7.2802,0.146274,4.741133,0.210859,-0.572867,1
GW200115_042309,GWTC-3,C01:IMRPhenomXPHM:HighSpin,20000,radiated_energy,7.2716,0.146157,4.741629,0.211007,-0.572371,1
GW200128_022011,GWTC-3,C01:IMRPhenomXPHM,26969,radiated_energy,73.7024,3.574641,5.382079,0.095136,0.068079,1
GW200128_022011,GWTC-3,C01:IMRPhenomXPHM,150506,radiated_energy,70.2069,3.433601,5.386034,0.091115,0.072034,1
GW200129_065458,GWTC-3,C01:IMRPhenomXPHM,87429,radiated_energy,63.3266,3.062666,5.384820,0.107395,0.070820,1
GW200129_065458,GWTC-3,C01:IMRPhenomXPHM,148072,radiated_energy,63.2127,3.057336,5.384792,0.105607,0.070792,1
GW200202_154313,GWTC-3,C01:IMRPhenomXPHM,126430,radiated_energy,17.5954,0.809414,5.346263,0.086929,0.032263,1
GW200202_154313,GWTC-3,C01:IMRPhenomXPHM,170115,radiated_energy,17.5719,0.808177,5.345954,0.087289,0.031954,1
GW200208_130117,GWTC-3,C01:IMRPhenomXPHM,38722,radiated_energy,65.1014,2.790111,5.293603,0.107727,-0.020397,1
GW200208_130117,GWTC-3,C01:IMRPhenomXPHM,104414,radiated_energy,64.6282,2.812355,5.305041,0.103588,-0.008959,1
GW200208_222617,GWTC-3,C01:IMRPhenomXPHM,24495,radiated_energy,90.7246,2.120077,4.892200,0.428204,-0.421800,1
GW200208_222617,GWTC-3,C01:IMRPhenomXPHM,209178,radiated_energy,87.7227,2.358944,5.045522,0.392439,-0.268478,1
GW200209_085452,GWTC-3,C01:IMRPhenomXPHM,30588,radiated_energy,61.8310,2.660343,5.294527,0.101643,-0.019473,1
GW200209_085452,GWTC-3,C01:IMRPhenomXPHM,161419,radiated_energy,60.3288,2.634292,5.303710,0.093251,-0.010290,1
GW200210_092254,GWTC-3,C01:IMRPhenomXPHM,78491,radiated_energy,27.4557,0.267760,4.223862,0.146266,-1.090138,0
GW200210_092254,GWTC-3,C01:IMRPhenomXPHM,141688,radiated_energy,27.1921,0.266785,4.227786,0.150171,-1.086214,0
GW200216_220804,GWTC-3,C01:IMRPhenomXPHM,17943,radiated_energy,80.9417,3.442029,5.299927,0.280145,-0.014073,1
GW200216_220804,GWTC-3,C01:IMRPhenomXPHM,145692,radiated_energy,78.8524,3.623639,5.348529,0.223060,0.034529,1
GW200219_094415,GWTC-3,C01:IMRPhenomXPHM,28386,radiated_energy,64.9328,2.804710,5.297149,0.106748,-0.016851,1
GW200219_094415,GWTC-3,C01:IMRPhenomXPHM,154656,radiated_energy,62.9356,2.757694,5.305816,0.098394,-0.008184,1
GW200220_061928,GWTC-3,C01:IMRPhenomXPHM,7327,radiated_energy,144.1972,6.472748,5.332765,0.234877,0.018765,1
GW200220_061928,GWTC-3,C01:IMRPhenomXPHM,123819,radiated_energy,130.8113,6.153604,5.359844,0.166807,0.045844,1
GW200220_124850,GWTC-3,C01:IMRPhenomXPHM,13497,radiated_energy,65.7420,2.858215,5.302586,0.117663,-0.011414,1
GW200220_124850,GWTC-3,C01:IMRPhenomXPHM,96667,radiated_energy,62.2533,2.760131,5.315779,0.106037,0.001779,1
GW200224_222234,GWTC-3,C01:IMRPhenomXPHM,88200,radiated_energy,71.9586,3.587595,5.398006,0.076352,0.084006,1
GW200224_222234,GWTC-3,C01:IMRPhenomXPHM,216261,radiated_energy,71.5674,3.574880,5.399544,0.073096,0.085544,1
GW200225_060421,GWTC-3,C01:IMRPhenomXPHM,88167,radiated_energy,33.5639,1.419711,5.280387,0.094845,-0.033613,1
