targetid,field,ra,dec,z,zerr,spectype,flux_r,flux_g,comoving_mpc
39089837550202210,DESI-COSMOS-v2.0,148.637341,2.394080,1.488885,0.000048,GALAXY,,,4462.23
39089837550198976,DESI-COSMOS-v2.0,148.788400,2.359216,0.459639,0.000017,GALAXY,,,1802.62
39089837550194641,DESI-COSMOS-v2.0,148.836348,2.348273,0.121594,0.000008,GALAXY,,,521.02
39089837550202460,DESI-COSMOS-v2.0,148.891811,2.353344,0.151617,0.000004,GALAXY,,,644.46
39089837550207919,DESI-COSMOS-v2.0,148.809864,2.330257,0.190179,0.000006,GALAXY,,,798.11
39089837550203126,DESI-COSMOS-v2.0,148.578632,2.780086,0.409672,0.000021,GALAXY,,,1628.00
39089837550212457,DESI-COSMOS-v2.0,148.872084,2.275250,0.536046,0.000015,GALAXY,,,2058.43
39089837550206724,DESI-COSMOS-v2.0,148.927988,2.335274,0.618447,0.000056,GALAXY,,,2321.84
39089837550197867,DESI-COSMOS-v2.0,148.917899,2.266388,0.000263,0.000035,STAR,,,0.00
39089837550193135,DESI-COSMOS-v2.0,148.851497,2.337489,1.250832,0.000080,GALAXY,,,3977.87
39089837550206056,DESI-COSMOS-v2.0,148.794903,2.408823,0.186859,0.000009,GALAXY,,,786.09
39089837550199560,DESI-COSMOS-v2.0,148.789310,2.300757,0.311199,0.000015,GALAXY,,,1267.10
39089837550200992,DESI-COSMOS-v2.0,148.899540,2.311800,0.618923,0.000051,GALAXY,,,2324.97
39089837550196211,DESI-COSMOS-v2.0,148.887297,2.248772,0.354144,0.000005,GALAXY,,,1426.36
39089837550198759,DESI-COSMOS-v2.0,149.025730,2.411590,1.357068,0.000092,GALAXY,,,4201.27
39089837550205422,DESI-COSMOS-v2.0,148.669414,2.530698,0.428507,0.000019,GALAXY,,,1694.95
39089837550203290,DESI-COSMOS-v2.0,148.622279,2.740628,1.106965,0.000055,GALAXY,,,3652.58
39089837550193138,DESI-COSMOS-v2.0,148.697150,2.424381,0.848946,0.000057,GALAXY,,,2998.30
39089837550208440,DESI-COSMOS-v2.0,148.709272,2.612194,0.698453,0.000040,GALAXY,,,2566.72
39089837550207948,DESI-COSMOS-v2.0,148.760571,2.424890,0.483751,0.000020,GALAXY,,,1884.64
39089837550200983,DESI-COSMOS-v2.0,148.672926,2.414202,0.659095,0.000022,GALAXY,,,2448.80
39089837550208178,DESI-COSMOS-v2.0,148.680429,2.565273,0.000833,0.000042,STAR,,,4.39
39089837550201085,DESI-COSMOS-v2.0,148.675206,2.706399,0.000572,0.000014,STAR,,,4.39
39089837550206955,DESI-COSMOS-v2.0,148.578943,2.658493,0.000840,0.000026,STAR,,,4.39
39089837550206663,DESI-COSMOS-v2.0,148.632435,2.425187,0.000388,0.000016,STAR,,,0.00
39089837550198122,DESI-COSMOS-v2.0,148.544516,2.759723,0.228058,0.000005,GALAXY,,,948.72
39089837550197139,DESI-COSMOS-v2.0,148.657719,2.665180,0.277567,0.000021,GALAXY,,,1142.25
39089837550207918,DESI-COSMOS-v2.0,148.570327,2.722135,0.839624,0.000044,GALAXY,,,2973.65
39089837550199727,DESI-COSMOS-v2.0,148.777211,2.465342,0.344893,0.000016,GALAXY,,,1393.34
39089837550199306,DESI-COSMOS-v2.0,148.570716,2.752026,0.275401,0.000014,GALAXY,,,1130.79
39089837550199807,DESI-COSMOS-v2.0,148.694955,2.497481,3.228990,0.000423,QSO,,,6749.75
39089837550202825,DESI-COSMOS-v2.0,148.644045,2.450943,0.245977,0.000005,GALAXY,,,1019.00
39089837550207628,DESI-COSMOS-v2.0,148.645249,2.575796,0.745661,0.000057,GALAXY,,,2708.14
39089837550197403,DESI-COSMOS-v2.0,148.691865,2.454266,1.168013,0.000116,GALAXY,,,3793.59
39089837550208407,DESI-COSMOS-v2.0,149.006685,2.345179,1.097206,0.000086,GALAXY,,,3629.00
39089837550193869,DESI-COSMOS-v2.0,148.959502,2.346595,0.186792,0.000004,GALAXY,,,786.09
39089837550198405,DESI-COSMOS-v2.0,148.511983,2.483243,1.069387,0.000141,GALAXY,,,3562.24
39089837550205254,DESI-COSMOS-v2.0,148.573911,2.438780,1.102645,0.000076,GALAXY,,,3643.16
39089837550197813,DESI-COSMOS-v2.0,148.766813,2.608752,1.166782,0.000042,GALAXY,,,3791.32
