event,catalog,gamma_label,gamma_value,median_n,std_n,delta,in_band
GW200220_124850,GWTC-3,Meissner_2004_area,0.237500,5.315779,0.106037,0.001779,1
GW200224_222234,GWTC-3,Meissner_2004_area,0.237500,5.398006,0.076352,0.084006,1
GW200224_222234,GWTC-3,Meissner_2004_area,0.237500,5.399544,0.073096,0.085544,1
GW200225_060421,GWTC-3,Meissner_2004_area,0.237500,5.280387,0.094845,-0.033613,1
GW200225_060421,GWTC-3,Meissner_2004_area,0.237500,5.285732,0.092831,-0.028268,1
GW200302_015811,GWTC-3,Meissner_2004_area,0.237500,5.201864,0.163701,-0.112136,1
GW200302_015811,GWTC-3,Meissner_2004_area,0.237500,5.225049,0.161466,-0.088951,1
GW200306_093714,GWTC-3,Meissner_2004_area,0.237500,5.376389,0.286720,0.062389,1
GW200306_093714,GWTC-3,Meissner_2004_area,0.237500,5.420931,0.264371,0.106931,1
GW200308_173609,GWTC-3,Meissner_2004_area,0.237500,5.185449,0.533146,-0.128551,1
GW200308_173609,GWTC-3,Meissner_2004_area,0.237500,5.170796,0.531856,-0.143204,1
GW200311_115853,GWTC-3,Meissner_2004_area,0.237500,5.338118,0.076073,0.024118,1
GW200311_115853,GWTC-3,Meissner_2004_area,0.237500,5.338984,0.074487,0.024984,1
GW200316_215756,GWTC-3,Meissner_2004_area,0.237500,5.291566,0.175532,-0.022434,1
GW200316_215756,GWTC-3,Meissner_2004_area,0.237500,5.293402,0.176450,-0.020598,1
GW200322_091133,GWTC-3,Meissner_2004_area,0.237500,5.026163,0.784262,-0.287837,1
GW200322_091133,GWTC-3,Meissner_2004_area,0.237500,4.632042,0.882896,-0.681958,1
GW230518_125908,GWTC-4,gamma_data_observed,0.257500,4.610731,0.063381,-0.703269,1
GW230529_181500,GWTC-4,gamma_data_observed,0.257500,5.125070,0.114409,-0.188930,1
GW230601_224134,GWTC-4,gamma_data_observed,0.257500,5.361493,0.116334,0.047493,1
GW230605_065343,GWTC-4,gamma_data_observed,0.257500,5.387283,0.080884,0.073283,1
GW230606_004305,GWTC-4,gamma_data_observed,0.257500,5.325636,0.124580,0.011636,1
