targetid,field,ra,dec,z,zerr,spectype,flux_r,flux_g,comoving_mpc
39627694752664892,DESI-XMMLSS-v2.0,35.640986,-3.701494,0.813833,0.000163,QSO,,,2901.69
39627700784073488,DESI-XMMLSS-v2.0,35.620324,-3.378907,2.387906,0.001024,QSO,,,5851.87
39627706815480163,DESI-XMMLSS-v2.0,35.556496,-3.330343,1.012540,0.000128,GALAXY,,,3425.46
39627700784073839,DESI-XMMLSS-v2.0,35.628058,-3.439392,0.804709,0.000057,GALAXY,,,2876.52
39627700784073785,DESI-XMMLSS-v2.0,35.626740,-3.595950,2.167277,0.000261,QSO,,,5561.50
39627700784073941,DESI-XMMLSS-v2.0,35.630325,-3.421646,0.805466,0.000009,QSO,,,2876.52
39627706815483288,DESI-XMMLSS-v2.0,35.644705,-3.314725,0.653365,0.000105,GALAXY,,,2430.41
39627700784071516,DESI-XMMLSS-v2.0,35.570190,-3.556686,0.803587,0.000100,GALAXY,,,2873.71
39627706815482042,DESI-XMMLSS-v2.0,35.610607,-3.312105,1.226886,0.000052,GALAXY,,,3925.45
39627706819682432,DESI-XMMLSS-v2.0,36.018465,-3.152993,0.945025,0.000119,GALAXY,,,3253.30
39627706823871122,DESI-XMMLSS-v2.0,36.132739,-3.298473,1.673411,0.000109,GALAXY,,,4797.32
39627706823869426,DESI-XMMLSS-v2.0,36.081040,-3.260192,0.749527,0.000013,GALAXY,,,2719.74
39627706823870222,DESI-XMMLSS-v2.0,36.104205,-3.302206,1.283474,0.000044,GALAXY,,,4046.68
39627706823873740,DESI-XMMLSS-v2.0,36.206386,-3.291660,0.938492,0.000120,GALAXY,,,3235.19
39627706823872470,DESI-XMMLSS-v2.0,36.171542,-3.348818,0.939438,0.000018,GALAXY,,,3237.78
39627688729644278,DESI-XMMLSS-v2.0,36.137333,-3.910444,0.855139,0.000092,GALAXY,,,3014.67
39627694756859180,DESI-XMMLSS-v2.0,35.896157,-3.805038,0.848535,0.000030,GALAXY,,,2998.30
39627694756857137,DESI-XMMLSS-v2.0,35.838169,-3.767783,1.273261,0.000080,GALAXY,,,4025.31
39627694756865018,DESI-XMMLSS-v2.0,36.042554,-3.766546,1.440887,0.000077,GALAXY,,,4369.44
39627694756861470,DESI-XMMLSS-v2.0,35.955300,-3.864031,1.581208,0.000192,GALAXY,,,4633.72
39627688729643007,DESI-XMMLSS-v2.0,36.103063,-3.920239,0.800862,0.000089,GALAXY,,,2865.29
39627688725455263,DESI-XMMLSS-v2.0,36.045089,-3.921749,0.558819,0.000085,GALAXY,,,2133.61
39627694756862616,DESI-XMMLSS-v2.0,35.981687,-3.762340,0.846933,0.000096,GALAXY,,,2992.84
39627688725453435,DESI-XMMLSS-v2.0,35.998660,-3.910038,0.960595,0.000034,GALAXY,,,3294.43
39627694761051002,DESI-XMMLSS-v2.0,36.072573,-3.819647,0.962882,0.000036,GALAXY,,,3299.54
39627694748471221,DESI-XMMLSS-v2.0,35.406736,-3.661432,1.122435,0.000093,GALAXY,,,3687.71
39627694748471065,DESI-XMMLSS-v2.0,35.402831,-3.631721,1.032090,0.000055,GALAXY,,,3472.36
39627694748472698,DESI-XMMLSS-v2.0,35.440625,-3.771929,0.432577,0.000115,GALAXY,,,1708.96
39627694748472620,DESI-XMMLSS-v2.0,35.439204,-3.817970,1.324094,0.000055,GALAXY,,,4133.10
39627688721254234,DESI-XMMLSS-v2.0,35.595437,-3.931766,1.137722,0.000094,GALAXY,,,3724.85
39627694748473410,DESI-XMMLSS-v2.0,35.458657,-3.633780,0.756554,0.000191,GALAXY,,,2739.98
39627694748471662,DESI-XMMLSS-v2.0,35.417348,-3.697517,0.526926,0.000074,GALAXY,,,2028.73
39627694744281085,DESI-XMMLSS-v2.0,35.275285,-3.626816,0.895485,0.000039,GALAXY,,,3122.29
39627694752665549,DESI-XMMLSS-v2.0,35.660331,-3.805256,0.731115,0.000019,GALAXY,,,2664.38
39627688721253650,DESI-XMMLSS-v2.0,35.581497,-3.922096,0.950325,0.000016,GALAXY,,,3266.20
39627694748475222,DESI-XMMLSS-v2.0,35.504824,-3.643663,1.313022,0.000057,GALAXY,,,4110.10
39627694752666652,DESI-XMMLSS-v2.0,35.690691,-3.762019,1.190946,0.000070,GALAXY,,,3845.51
39627688721255490,DESI-XMMLSS-v2.0,35.625910,-3.917816,1.397460,0.000070,GALAXY,,,4282.30
39627694748474667,DESI-XMMLSS-v2.0,35.490620,-3.717920,1.097106,0.000151,GALAXY,,,3629.00
39627694752662376,DESI-XMMLSS-v2.0,35.571102,-3.827778,0.950963,0.000016,GALAXY,,,3268.77
39627694748474061,DESI-XMMLSS-v2.0,35.474925,-3.652856,0.908810,0.000028,GALAXY,,,3159.36
39627694748476717,DESI-XMMLSS-v2.0,35.545372,-3.753530,1.303524,0.000046,GALAXY,,,4091.19
39627694752664620,DESI-XMMLSS-v2.0,35.633446,-3.741504,1.490472,0.000067,GALAXY,,,4464.14
