event_file,catalog,waveform_key,erad_strategy,M_total_med,log2_M,chi_eff_med,af_med,m_irr_final_med,e_th_med,e_th_frac_med,n_std,n_std_std,gap_std,n_irr,n_irr_std,gap_irr,n_above,n_above_std,gap_above,has_variant_c,in_band_std,n_samples
IGWN-GWTC2p1-v2-GW190513_205428_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,53.7894,5.74925,0.150221,0.712219,47.5334,0.0,0.0,5.282106,0.162296,132.099076,5.372275,0.181735,132.008908,5.279725,0.192543,132.101457,1,1,180002
IGWN-GWTC2p1-v2-GW190514_065416_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,69.0248,6.109042,-0.091083,0.653977,61.9522,0.0,0.0,5.282611,0.144919,132.458363,5.36055,0.159493,132.380424,5.285339,0.287481,132.455635,1,1,15629
IGWN-GWTC2p1-v2-GW190514_065416_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,65.5604,6.034753,-0.06762,0.664352,58.6061,0.0,0.0,5.299889,0.127574,132.366795,5.380755,0.14235,132.28593,5.301435,0.263914,132.36525,1,1,123633
IGWN-GWTC2p1-v2-GW190517_055101_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,64.4896,6.010995,0.441687,0.867878,52.7234,0.0,0.0,5.522279,0.213,132.120647,5.669741,0.232203,131.973185,5.525161,0.291887,132.117766,1,1,61249
IGWN-GWTC2p1-v2-GW190517_055101_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,62.6577,5.969419,0.473233,0.872454,50.8725,0.0,0.0,5.552532,0.196532,132.048819,5.703712,0.214771,131.897639,5.553924,0.261233,132.047427,1,1,161299
IGWN-GWTC2p1-v2-GW190519_153544_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,103.1949,6.689228,0.315294,0.784656,88.3539,0.0,0.0,5.438564,0.126776,132.882596,5.553255,0.145837,132.767905,5.437911,0.150568,132.883249,1,1,42168
IGWN-GWTC2p1-v2-GW190519_153544_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,100.1684,6.646283,0.336648,0.797055,85.2988,0.0,0.0,5.453231,0.124368,132.824984,5.572766,0.143313,132.705449,5.452095,0.151488,132.82612,1,1,150207
IGWN-GWTC2p1-v2-GW190521_030229_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,153.1475,7.258778,-0.139787,0.616328,139.3277,0.0,0.0,5.206544,0.27314,133.684166,5.275546,0.299619,133.615165,5.280754,0.423704,133.609956,1,1,24545
IGWN-GWTC2p1-v2-GW190521_030229_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,149.1713,7.220826,0.00147,0.675298,132.9646,0.0,0.0,5.30597,0.219858,133.546788,5.389514,0.244868,133.463244,5.330251,0.32418,133.522507,1,1,148527
IGWN-GWTC2p1-v2-GW190521_074359_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,77.3377,6.273099,0.073936,0.701205,68.1109,0.0,0.0,5.376191,0.049427,132.52884,5.467857,0.057595,132.437174,5.375745,0.070832,132.529286,1,1,104558
