event_file,catalog,waveform_key,median_n,std_n,in_bbh_band,median_q,mean_q,std_q,q_bin,median_chi_eff,e_chi2,beta_posterior,n_samples
IGWN-GWTC4p0-0f954158d_720-GW230518_125908-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,4.55241,0.06338,0,0.17666,0.1796,0.02246,0.0-0.2,-0.01241,0.004319,0.99136,11711
IGWN-GWTC4p0-0f954158d_720-GW230529_181500-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM:HighSpin,5.06675,0.11441,1,0.40954,0.45944,0.16806,0.4-0.6,-0.11246,0.022446,0.95511,5489
IGWN-GWTC4p0-0f954158d_720-GW230601_224134-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.30293,0.11634,1,0.67657,0.67313,0.16445,0.6-0.8,-0.02015,0.029146,0.94171,14438
IGWN-GWTC4p0-0f954158d_720-GW230605_065343-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.3287,0.08123,1,0.64059,0.6492,0.17979,0.6-0.8,0.06829,0.012117,0.97577,15769
IGWN-GWTC4p0-0f954158d_720-GW230606_004305-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.2668,0.12462,1,0.71261,0.70306,0.18057,0.6-0.8,-0.13613,0.047134,0.90573,13904
IGWN-GWTC4p0-0f954158d_720-GW230608_205047-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.32344,0.15037,1,0.63526,0.64586,0.18622,0.6-0.8,0.04976,0.025179,0.94964,13528
IGWN-GWTC4p0-0f954158d_720-GW230609_064958-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.27794,0.10504,1,0.73367,0.72429,0.16369,0.6-0.8,-0.14268,0.04407,0.91186,13019
IGWN-GWTC4p0-0f954158d_720-GW230624_113103-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.34441,0.13217,1,0.62524,0.63321,0.18815,0.6-0.8,0.13669,0.040467,0.91907,15846
IGWN-GWTC4p0-0f954158d_720-GW230627_015337-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.33628,0.04277,1,0.69043,0.69999,0.14099,0.6-0.8,0.02096,0.00246,0.99508,9688
IGWN-GWTC4p0-0f954158d_720-GW230628_231200-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.36124,0.05125,1,0.84659,0.82785,0.11913,0.8-1.0,-0.00228,0.008476,0.98305,15446
IGWN-GWTC4p0-0f954158d_720-GW230630_125806-combined_PEDataRelease.hdf5,UNKNOWN,C00:IMRPhenomXPHM-SpinTaylor,5.39305,0.18689,1,0.65128,0.64615,0.19848,0.6-0.8,0.20262,0.074721,0.85056,16819
