event_file,median_n,std_n,median_q,median_chi_eff,valid_samples
IGWN-GWTC2p1-v2-GW170814_103043_PEDataRelease_mixed_nocosmo.h5,5.379339700322781,0.04613634423228172,0.8079520726847562,0.061347174284648004,197034
IGWN-GWTC2p1-v2-GW190805_211137_PEDataRelease_mixed_cosmo.h5,5.4999149012881645,0.17725573694955515,0.6835380095198231,0.3868285632910197,11786
IGWN-GWTC2p1-v2-GW190527_092055_PEDataRelease_mixed_cosmo.h5,5.3126030715523385,0.2650904084539589,0.5910324418380511,0.08308467090054342,28052
IGWN-GWTC2p1-v2-GW170729_185629_PEDataRelease_mixed_cosmo.h5,5.393529799658193,0.19961980030966792,0.5513881538559955,0.25719696194095754,37428
IGWN-GWTC2p1-v2-GW190929_012149_PEDataRelease_mixed_cosmo.h5,5.095865939543944,0.23823325362050818,0.40336016782481976,-0.030582789500723902,30749
IGWN-GWTC2p1-v2-GW151012_095443_PEDataRelease_mixed_nocosmo.h5,5.295294220831167,0.20384137043171274,0.5513284613784079,0.1178067400767817,137933
IGWN-GWTC2p1-v2-GW190521_074359_PEDataRelease_mixed_nocosmo.h5,5.374802837667024,0.0505580953054495,0.7597436577031269,0.07257629398722586,210737
IGWN-GWTC2p1-v2-GW150914_095045_PEDataRelease_mixed_cosmo.h5,5.340244213378183,0.04613670136919367,0.846299702137696,-0.0557199528831181,147634
IGWN-GWTC2p1-v2-GW190413_134308_PEDataRelease_mixed_nocosmo.h5,5.311073663052702,0.16969936628087362,0.6543112076997517,0.021073314829925676,155335
IGWN-GWTC2p1-v2-GW190930_133541_PEDataRelease_mixed_nocosmo.h5,5.348013947365393,0.17476778088220557,0.6248544514248292,0.14868751941238179,137344
IGWN-GWTC2p1-v2-GW170814_103043_PEDataRelease_mixed_cosmo.h5,5.37873299304039,0.04639934160427441,0.8062978549488421,0.06055473922465855,139163
IGWN-GWTC2p1-v2-GW190925_232845_PEDataRelease_mixed_nocosmo.h5,5.364671319330807,0.09148265089712888,0.7414540419826703,0.08292220389527837,164960
IGWN-GWTC2p1-v2-GW190814_211039_PEDataRelease_mixed_nocosmo.h5,4.188762470090852,0.04004697528870661,0.11118042484774468,0.0038019126466795343,89500
IGWN-GWTC2p1-v2-GW190630_185205_PEDataRelease_mixed_cosmo.h5,5.368474803097749,0.08125812941144342,0.7219692807624908,0.0918381592110835,87638
