event_file,catalog,waveform_key,median_n,in_bbh_band,n_samples,e_chi2_eff,med_chi_eff,e_chi2_final,med_chi_final,e_chi_orb2_direct,e_chi_orb2_healy,chi_orb_healy,e_a1_sq,e_a2_sq,e_kerr_ratio_eff,e_kerr_ratio_final,med_eta,med_q,med_chirp_mass,med_chip,gb_event_pop_beta
6513631/IGWN-GWTC2p1-v2-GW190731_140936_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.36527,1,126255,0.028646,0.07869,0.501453,0.71025,0.472807,0.458391,0.67705,0.253089,0.29506,1.98535,1.70282,0.24387,0.72917,28.049,0.41295,0.95929
6513631/IGWN-GWTC2p1-v2-GW190803_022701_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.34082,1,101656,0.022124,0.00276,0.474738,0.68949,0.452614,0.462967,0.68042,0.269742,0.28846,1.98868,1.7224,0.24527,0.7581,27.02,0.44743,0.94625
6513631/IGWN-GWTC2p1-v2-GW190805_211137_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.52385,1,169040,0.200611,0.42437,0.69559,0.84353,0.494979,0.45131,0.6718,0.609533,0.419264,1.89016,1.54443,0.24169,0.69155,29.667,0.52677,1.30322
6513631/IGWN-GWTC2p1-v2-GW190814_211039_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,4.18876,0,89500,0.00269,0.0038,0.080173,0.28261,0.077482,0.079727,0.28236,0.003647,0.310277,1.99864,1.95906,0.09004,0.11118,6.107,0.04043,0.90738
6513631/IGWN-GWTC2p1-v2-GW190828_063405_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.42545,1,128000,0.033864,0.16038,0.556273,0.74489,0.522409,0.47046,0.6859,0.288369,0.266302,1.98279,1.66455,0.24755,0.8197,24.344,0.44428,0.96973
6513631/IGWN-GWTC2p1-v2-GW190828_065509_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.17838,1,181548,0.013618,0.05534,0.414053,0.64144,0.400435,0.361535,0.60128,0.136243,0.289272,1.9931,1.76439,0.21255,0.44192,13.233,0.26665,0.92924
6513631/IGWN-GWTC2p1-v2-GW190910_112807_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.35009,1,159609,0.012072,-0.00538,0.475529,0.68861,0.463457,0.466824,0.68324,0.221414,0.247286,1.99388,1.72284,0.24644,0.78684,32.205,0.39871,0.92614
6513631/IGWN-GWTC2p1-v2-GW190915_235702_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.33251,1,144305,0.016589,-0.0297,0.479497,0.69165,0.462908,0.464834,0.68179,0.340418,0.318492,1.99156,1.71983,0.24584,0.7714,23.967,0.56152,0.93518
6513631/IGWN-GWTC2p1-v2-GW190916_200658_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.40277,1,107199,0.109443,0.27255,0.579273,0.772,0.469829,0.425939,0.65264,0.386796,0.351179,1.94166,1.63945,0.23374,0.59361,26.59,0.42147,1.12089
6513631/IGWN-GWTC2p1-v2-GW190917_114630_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,4.66025,0,20000,0.053231,-0.07453,0.188775,0.41656,0.135544,0.18311,0.42791,0.164719,0.318419,1.97195,1.89992,0.1435,0.21014,3.658,0.17305,1.00846
6513631/IGWN-GWTC2p1-v2-GW190924_021846_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.24254,1,46372,0.019593,0.04632,0.446574,0.66463,0.426981,0.394304,0.62794,0.156192,0.263516,1.98987,1.74313,0.22352,0.50895,5.773,0.28805,0.94119
6513631/IGWN-GWTC2p1-v2-GW190925_232845_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.36467,1,164960,0.01882,0.08292,0.505292,0.70731,0.486473,0.460423,0.67854,0.208248,0.27142,1.99039,1.70197,0.24449,0.74145,15.597,0.3775,0.93964
6513631/IGWN-GWTC2p1-v2-GW190926_050336_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.26148,1,157760,0.032551,-0.00762,0.438029,0.66436,0.405478,0.421464,0.6492,0.289354,0.318863,1.98315,1.74514,0.23232,0.57984,23.891,0.42374,0.9671
6513631/IGWN-GWTC2p1-v2-GW190929_012149_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.14432,1,153782,0.024737,-0.02032,0.384401,0.61911,0.359664,0.359277,0.5994,0.219981,0.311784,1.98729,1.78015,0.21178,0.43781,34.803,0.32758,0.95147
6513631/IGWN-GWTC2p1-v2-GW190930_133541_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.34801,1,137344,0.048,0.14869,0.524771,0.72068,0.47677,0.435221,0.65971,0.235326,0.30325,1.97498,1.68771,0.23667,0.62485,8.476,0.35994,0.998
8177023/IGWN-GWTC3p0-v2-GW191103_012549_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.39454,1,167837,0.061875,0.21747,0.567158,0.74829,0.505283,0.440699,0.66385,0.301231,0.347445,1.96815,1.65641,0.23839,0.64542,8.256,0.42701,1.02575
8177023/IGWN-GWTC3p0-v2-GW191105_143521_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.3138,1,142741,0.006971,-0.01765,0.447576,0.66813,0.440605,0.451108,0.67165,0.156942,0.245788,1.99647,1.74266,0.24162,0.69057,7.757,0.31786,0.91594
8177023/IGWN-GWTC3p0-v2-GW191109_010717_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.22473,1,270070,0.136135,-0.29381,0.365095,0.59728,0.22896,0.459867,0.67814,0.573394,0.477758,1.92639,1.79127,0.24432,0.73801,46.3,0.54853,1.17427
8177023/IGWN-GWTC3p0-v2-GW191113_071753_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,4.64229,0,129899,0.032271,0.01005,0.270703,0.44037,0.238432,0.172252,0.41503,0.138958,0.317336,1.98299,1.84749,0.13858,0.19933,10.57,0.18475,0.96654
8177023/IGWN-GWTC3p0-v2-GW191126_115259_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.40293,1,158918,0.054525,0.21218,0.563176,0.74771,0.508651,0.448138,0.66943,0.277195,0.321106,1.9721,1.65968,0.24071,0.6767,8.502,0.40837,1.01105
8177023/IGWN-GWTC3p0-v2-GW191127_050227_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.30971,1,185048,0.104756,0.25876,0.591739,0.78325,0.486983,0.376128,0.61329,0.491421,0.359314,1.94421,1.62753,0.21749,0.46992,31.201,0.52802,1.11151
8177023/IGWN-GWTC3p0-v2-GW191129_134029_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.30884,1,135743,0.013057,0.06575,0.463611,0.68178,0.450555,0.426754,0.65326,0.119576,0.255118,1.9934,1.73197,0.234,0.5962,7.295,0.27584,0.92811
8177023/IGWN-GWTC3p0-v2-GW191204_110529_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.34086,1,155223,0.02794,0.04441,0.49583,0.69961,0.46789,0.456817,0.67588,0.284523,0.310758,1.98535,1.70642,0.24338,0.72016,18.724,0.45049,0.95788
8177023/IGWN-GWTC3p0-v2-GW191204_171526_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.38686,1,206292,0.029363,0.15941,0.542069,0.73435,0.512706,0.443804,0.66619,0.273729,0.255908,1.98518,1.67622,0.23936,0.65795,8.555,0.43639,0.96073
8177023/IGWN-GWTC3p0-v2-GW191215_223052_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.31361,1,20000,0.015937,-0.0423,0.461245,0.67806,0.445308,0.460155,0.67835,0.289705,0.313786,1.99191,1.73292,0.24441,0.73979,18.013,0.50253,0.93387
8177023/IGWN-GWTC3p0-v2-GW191216_213338_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.3247,1,315108,0.028509,0.11733,0.490351,0.70053,0.461842,0.421782,0.64945,0.12984,0.279367,1.98526,1.71349,0.23242,0.5808,8.328,0.25773,0.95902
8177023/IGWN-GWTC3p0-v2-GW191219_163120_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM:HighSpin,3.27267,0,20000,0.002319,0.005,0.025852,0.15709,0.023533,0.013094,0.11443,0.014842,0.315368,1.99883,1.98691,0.03438,0.03697,4.326,0.10453,0.90664
8177023/IGWN-GWTC3p0-v2-GW191222_033537_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.3257,1,135537,0.020083,-0.03986,0.448989,0.67286,0.428907,0.465347,0.68216,0.227708,0.269083,1.98974,1.74067,0.24599,0.77525,32.622,0.40375,0.94217
8177023/IGWN-GWTC3p0-v2-GW191230_180458_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.32517,1,139585,0.031227,-0.03895,0.473274,0.68552,0.442047,0.465288,0.68212,0.346193,0.32702,1.98382,1.7226,0.24597,0.7748,35.123,0.52674,0.96445
8177023/IGWN-GWTC3p0-v2-GW200105_162426_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,4.68829,0,20000,0.016364,0.00069,0.200804,0.43979,0.184441,0.183591,0.42847,0.047885,0.310805,1.99155,1.89376,0.14371,0.21063,3.417,0.11532,0.93473
8177023/IGWN-GWTC3p0-v2-GW200112_155838_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.3634,1,157304,0.010248,0.04814,0.487585,0.69834,0.477338,0.463149,0.68055,0.168408,0.239334,1.99484,1.71488,0.24532,0.75936,26.902,0.35473,0.9225
8177023/IGWN-GWTC3p0-v2-GW200115_042309_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM:HighSpin,4.74169,0,20000,0.074494,-0.16874,0.194655,0.4302,0.120161,0.221512,0.47065,0.228787,0.333441,1.96059,1.89698,0.16005,0.25013,2.427,0.26403,1.05099
8177023/IGWN-GWTC3p0-v2-GW200128_022011_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.3861,1,150506,0.026578,0.0915,0.536446,0.73223,0.509868,0.466871,0.68328,0.353972,0.318512,1.98645,1.67817,0.24646,0.78723,29.97,0.53883,0.95516
8177023/IGWN-GWTC3p0-v2-GW200129_065458_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.38486,1,148072,0.019607,0.10956,0.559584,0.74752,0.539977,0.456182,0.67541,0.577613,0.395153,1.99009,1.66231,0.24319,0.71665,26.668,0.76399,0.94121
8177023/IGWN-GWTC3p0-v2-GW200202_154313_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.34602,1,170115,0.008126,0.03626,0.473157,0.68756,0.465031,0.455284,0.67475,0.132858,0.236785,1.99586,1.72548,0.24291,0.71178,7.477,0.29687,0.91825
8177023/IGWN-GWTC3p0-v2-GW200208_130117_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.30511,1,104414,0.028217,-0.06466,0.430902,0.66129,0.402685,0.459288,0.67771,0.240174,0.278156,1.98546,1.75245,0.24414,0.73449,27.382,0.39864,0.95843
8177023/IGWN-GWTC3p0-v2-GW200208_222617_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.04559,1,209178,0.409085,0.66692,0.792466,0.92768,0.383382,0.130865,0.36175,0.758984,0.342923,1.75246,1.4217,0.11862,0.15946,23.877,0.42759,1.72017
8177023/IGWN-GWTC3p0-v2-GW200209_085452_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.30377,1,161419,0.04166,-0.10655,0.445706,0.66791,0.404046,0.467188,0.68351,0.364373,0.341625,1.97831,1.74229,0.24655,0.78983,25.802,0.54396,0.98532
8177023/IGWN-GWTC3p0-v2-GW200210_092254_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,4.22785,0,141688,0.024277,0.03108,0.140983,0.36018,0.116706,0.083597,0.28913,0.07655,0.323103,1.98757,1.9263,0.09243,0.11488,6.525,0.17356,0.95055
8177023/IGWN-GWTC3p0-v2-GW200216_220804_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.34859,1,145692,0.055521,0.12547,0.516545,0.72344,0.461025,0.442864,0.66548,0.341135,0.33486,1.97107,1.68848,0.23907,0.65408,32.489,0.45885,1.01304
8177023/IGWN-GWTC3p0-v2-GW200219_094415_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.30588,1,154656,0.031461,-0.0841,0.435447,0.66248,0.403987,0.464276,0.68138,0.287268,0.31046,1.98376,1.74947,0.24567,0.76732,26.801,0.45771,0.96492
8177023/IGWN-GWTC3p0-v2-GW200220_061928_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.35991,1,123819,0.060295,0.08048,0.523846,0.71892,0.463551,0.45961,0.67795,0.365878,0.333255,1.96818,1.68352,0.24424,0.73644,54.98,0.49177,1.02259
8177023/IGWN-GWTC3p0-v2-GW200220_124850_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.31584,1,96667,0.034344,-0.05354,0.458309,0.67629,0.423965,0.463254,0.68063,0.326423,0.317574,1.98223,1.73307,0.24535,0.76008,26.478,0.49327,0.97069
8177023/IGWN-GWTC3p0-v2-GW200224_222234_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.39961,1,216261,0.018346,0.10325,0.539297,0.73462,0.52095,0.46881,0.6847,0.322717,0.288461,1.99073,1.6773,0.24705,0.8039,30.753,0.51465,0.93869
