event_file,event_type,waveform_key,median_n,std_n,median_redshift,median_lum_dist_Mpc,median_chi_eff,n_samples,in_bbh_band
IGWN-GWTC2p1-v2-GW190731_140936_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,5.36527,0.12301,0.66093,4082.338,0.07869,126255,1
IGWN-GWTC2p1-v2-GW190803_022701_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,5.33121,0.11324,0.53863,3186.405,-0.01465,20574,1
IGWN-GWTC2p1-v2-GW190803_022701_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,5.34082,0.10503,0.5922,3572.799,0.00276,101656,1
IGWN-GWTC2p1-v2-GW190805_211137_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,5.49991,0.17726,0.93298,6229.586,0.38683,11786,1
IGWN-GWTC2p1-v2-GW190805_211137_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,5.52385,0.15301,1.09965,7630.136,0.42437,169040,1
IGWN-GWTC2p1-v2-GW190814_211039_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,4.18887,0.04004,0.05076,232.696,0.00372,78254,0
IGWN-GWTC2p1-v2-GW190814_211039_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,4.18876,0.04005,0.05089,233.358,0.0038,89500,0
IGWN-GWTC2p1-v2-GW190828_063405_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,5.42344,0.06053,0.37538,2074.327,0.154,42966,1
IGWN-GWTC2p1-v2-GW190828_063405_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,5.42545,0.06034,0.39324,2190.798,0.16038,128000,1
IGWN-GWTC2p1-v2-GW190828_065509_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,5.17685,0.12794,0.29084,1542.424,0.05386,71723,1
IGWN-GWTC2p1-v2-GW190828_065509_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,5.17838,0.12783,0.30775,1646.222,0.05534,181548,1
IGWN-GWTC2p1-v2-GW190910_112807_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,5.34674,0.06876,0.30759,1645.198,-0.01124,54830,1
IGWN-GWTC2p1-v2-GW190910_112807_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,5.35009,0.06816,0.34476,1877.922,-0.00538,159609,1
IGWN-GWTC2p1-v2-GW190915_235702_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,5.32849,0.08406,0.32971,1782.948,-0.03877,50133,1
IGWN-GWTC2p1-v2-GW190915_235702_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,5.33251,0.08149,0.34595,1885.507,-0.0297,144305,1
IGWN-GWTC2p1-v2-GW190916_200658_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,5.34532,0.26267,0.76643,4891.962,0.19233,13058,1
IGWN-GWTC2p1-v2-GW190916_200658_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,5.40277,0.22256,0.93885,6277.939,0.27255,107199,1
IGWN-GWTC2p1-v2-GW190917_114630_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,4.66196,0.21511,0.14682,717.703,-0.07597,12312,0
IGWN-GWTC2p1-v2-GW190917_114630_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,4.66025,0.21288,0.15136,741.995,-0.07453,20000,0
IGWN-GWTC2p1-v2-GW190924_021846_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,5.24278,0.1667,0.11319,541.568,0.04571,32797,1
IGWN-GWTC2p1-v2-GW190924_021846_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,5.24254,0.16867,0.11601,556.076,0.04632,46372,1
IGWN-GWTC2p1-v2-GW190925_232845_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,5.36411,0.09103,0.18188,908.281,0.08113,87963,1
IGWN-GWTC2p1-v2-GW190925_232845_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,5.36467,0.09148,0.18706,936.994,0.08292,164960,1
IGWN-GWTC2p1-v2-GW190926_050336_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,5.20404,0.22349,0.55088,3273.874,-0.02025,20327,1
IGWN-GWTC2p1-v2-GW190926_050336_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,5.26148,0.19774,0.7189,4523.271,-0.00762,157760,1
IGWN-GWTC2p1-v2-GW190929_012149_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,5.09587,0.23823,0.53059,3129.233,-0.03058,30749,1
IGWN-GWTC2p1-v2-GW190929_012149_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,5.14432,0.2187,0.61894,3769.224,-0.02032,153782,1
IGWN-GWTC2p1-v2-GW190930_133541_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,5.34836,0.17158,0.15547,764.048,0.14723,80472,1
IGWN-GWTC2p1-v2-GW190930_133541_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,5.34801,0.17477,0.16025,789.901,0.14869,137344,1
