event_file,event_type,waveform_key,n_samples,median_n,mean_n,std_n,in_bbh_band,median_chi_eff,E_chi_eff_sq,beta_fixed,GB_value,delta_from_unity
8177023/IGWN-GWTC3p0-v2-GW200216_220804_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,145692,5.34859,5.29508,0.22306,1,0.12547,0.055521,0.814,0.925041,-0.074959
8177023/IGWN-GWTC3p0-v2-GW200219_094415_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,154656,5.30588,5.28867,0.09839,1,-0.0841,0.031461,0.814,0.876921,-0.123079
8177023/IGWN-GWTC3p0-v2-GW200220_061928_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,123819,5.35991,5.34305,0.16681,1,0.08048,0.060295,0.814,0.934591,-0.065409
8177023/IGWN-GWTC3p0-v2-GW200220_124850_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,96667,5.31584,5.30189,0.10604,1,-0.05354,0.034344,0.814,0.882687,-0.117313
8177023/IGWN-GWTC3p0-v2-GW200224_222234_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,216261,5.39961,5.38728,0.0731,1,0.10325,0.018346,0.814,0.850693,-0.149307
8177023/IGWN-GWTC3p0-v2-GW200225_060421_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,195767,5.2858,5.26269,0.09283,1,-0.12709,0.039429,0.814,0.892858,-0.107142
8177023/IGWN-GWTC3p0-v2-GW200302_015811_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,104245,5.22511,5.21011,0.16147,1,0.0131,0.023058,0.814,0.860115,-0.139885
8177023/IGWN-GWTC3p0-v2-GW200306_093714_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,116436,5.421,5.35411,0.26437,1,0.35688,0.144436,0.814,1.102872,0.102872
8177023/IGWN-GWTC3p0-v2-GW200308_173609_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,132606,5.17086,4.97325,0.53186,1,0.0576,0.102287,0.814,1.018575,0.018575
8177023/IGWN-GWTC3p0-v2-GW200311_115853_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,202628,5.33905,5.32466,0.07449,1,-0.03254,0.013087,0.814,0.840174,-0.159826
8177023/IGWN-GWTC3p0-v2-GW200316_215756_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,134403,5.29347,5.23358,0.17645,1,0.14885,0.048189,0.814,0.910379,-0.089621
8177023/IGWN-GWTC3p0-v2-GW200322_091133_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,137340,4.63211,4.46118,0.8829,0,0.03725,0.102115,0.814,1.01823,0.01823
IGWN-GWTC4p0-0f954158d_720-GW230518_125908-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,11711,4.55241,4.55647,0.06338,0,-0.01241,0.004319,0.814,0.822638,-0.177362
IGWN-GWTC4p0-0f954158d_720-GW230529_181500-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM:HighSpin,5489,5.06675,5.07285,0.11441,1,-0.11246,0.022446,0.814,0.858893,-0.141107
IGWN-GWTC4p0-0f954158d_720-GW230601_224134-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,14438,5.30293,5.28731,0.11634,1,-0.02015,0.029146,0.814,0.872293,-0.127707
IGWN-GWTC4p0-0f954158d_720-GW230605_065343-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,15769,5.3287,5.30639,0.08123,1,0.06829,0.012117,0.814,0.838234,-0.161766
IGWN-GWTC4p0-0f954158d_720-GW230606_004305-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,13904,5.2668,5.24302,0.12462,1,-0.13613,0.047134,0.814,0.908267,-0.091733
IGWN-GWTC4p0-0f954158d_720-GW230608_205047-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,13528,5.32344,5.2922,0.15037,1,0.04976,0.025179,0.814,0.864358,-0.135642
IGWN-GWTC4p0-0f954158d_720-GW230609_064958-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,13019,5.27794,5.25686,0.10504,1,-0.14268,0.04407,0.814,0.90214,-0.09786
IGWN-GWTC4p0-0f954158d_720-GW230624_113103-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,15846,5.34441,5.32296,0.13217,1,0.13669,0.040467,0.814,0.894934,-0.105066
IGWN-GWTC4p0-0f954158d_720-GW230627_015337-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,9688,5.33628,5.32492,0.04277,1,0.02096,0.00246,0.814,0.81892,-0.18108
IGWN-GWTC4p0-0f954158d_720-GW230628_231200-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,15446,5.36124,5.35672,0.05125,1,-0.00228,0.008476,0.814,0.830951,-0.169049
IGWN-GWTC4p0-0f954158d_720-GW230630_125806-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,16819,5.39305,5.3586,0.18689,1,0.20262,0.074721,0.814,0.963442,-0.036558
