event,catalog,waveform,erad_strategy,median_n,std_n,n_samples,in_bbh_band,M_total_Msun,M_chirp_Msun,mass_ratio,chi_eff,redshift,lum_dist_Mpc,median_snr,snr_src,snr_available,median_theta_jn_rad,median_cos_theta_jn,incl_src
GW190925_232845,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.364636,0.091483,164960,1,36.6711,15.5974,0.7415,0.0829,0.1871,936.9937,9.6971,network_matched_filter_snr,1,0.6457,0.7987,theta_jn
GW190926_050336,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.204005,0.223486,20327,1,61.6623,24.2897,0.4985,-0.0202,0.5509,3273.8744,8.1482,network_matched_filter_snr,1,1.6718,-0.1008,theta_jn
GW190926_050336,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.261442,0.197737,157760,1,59.0562,23.8908,0.5798,-0.0076,0.7189,4523.2707,7.9619,network_matched_filter_snr,1,1.7933,-0.2207,theta_jn
GW190929_012149,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.095831,0.238233,30749,1,93.3076,35.5546,0.4034,-0.0306,0.5306,3129.2327,9.7265,network_matched_filter_snr,1,1.4527,0.1178,theta_jn
GW190929_012149,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.144286,0.218704,153782,1,90.0049,34.8033,0.4378,-0.0203,0.6189,3769.2235,9.6465,network_matched_filter_snr,1,1.3706,0.1988,theta_jn
GW190930_133541,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.348322,0.171579,80472,1,20.4197,8.5128,0.6274,0.1472,0.1555,764.0483,9.6729,network_matched_filter_snr,1,0.6808,0.777,theta_jn
GW190930_133541,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.347979,0.174768,137344,1,20.3281,8.4758,0.6249,0.1487,0.1603,789.9015,9.6673,network_matched_filter_snr,1,0.6406,0.8018,theta_jn
GW191103_012549,GWTC-3,C01:IMRPhenomXPHM,M_total - final_mass_source,5.396941,0.126876,9914,1,20.0274,8.334,0.6516,0.2157,0.1972,993.7858,8.9024,network_matched_filter_snr,1,1.2458,0.3193,theta_jn
GW191103_012549,GWTC-3,C01:IMRPhenomXPHM,M_total - final_mass_source,5.394502,0.13019,167837,1,19.8657,8.2563,0.6454,0.2175,0.2085,1057.2372,8.895,network_matched_filter_snr,1,1.2766,0.29,theta_jn
GW191105_143521,GWTC-3,C01:IMRPhenomXPHM,M_total - final_mass_source,5.314606,0.088906,65529,1,18.5278,7.8058,0.6935,-0.0184,0.2262,1158.7027,9.6563,network_matched_filter_snr,1,1.0457,0.5013,theta_jn
GW191105_143521,GWTC-3,C01:IMRPhenomXPHM,M_total - final_mass_source,5.313769,0.089879,142741,1,18.4113,7.7567,0.6906,-0.0176,0.2339,1203.1731,9.6536,network_matched_filter_snr,1,0.9502,0.5815,theta_jn
