event_file,catalog,event_type,waveform_key,n_samples,median_n,mean_n,std_n,p5_n,p95_n,ci90_width,cv_pct,dev_from_pred,in_bbh_band,sub_floor,median_chi_eff,median_q
6513631/IGWN-GWTC2p1-v2-GW190915_235702_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,144305,5.33251,5.31941,0.08149,5.17177,5.42426,0.25248,1.5319,0.01851,1,0,-0.0297,0.7714
6513631/IGWN-GWTC2p1-v2-GW190916_200658_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,13058,5.34532,5.27534,0.26267,4.74461,5.58304,0.83843,4.9793,0.03132,1,0,0.19233,0.55694
6513631/IGWN-GWTC2p1-v2-GW190916_200658_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,107199,5.40277,5.3546,0.22256,4.91239,5.62648,0.71408,4.1564,0.08877,1,0,0.27255,0.59361
6513631/IGWN-GWTC2p1-v2-GW190917_114630_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,12312,4.66196,4.68217,0.21511,4.33821,5.0504,0.71219,4.5942,0.65204,0,0,-0.07597,0.21061
6513631/IGWN-GWTC2p1-v2-GW190917_114630_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,20000,4.66025,4.68165,0.21288,4.34196,5.04704,0.70507,4.5471,0.65375,0,0,-0.07453,0.21014
6513631/IGWN-GWTC2p1-v2-GW190924_021846_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,32797,5.24278,5.19678,0.1667,4.85628,5.35338,0.4971,3.2077,0.07122,1,0,0.04571,0.5094
6513631/IGWN-GWTC2p1-v2-GW190924_021846_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,46372,5.24254,5.19541,0.16867,4.85108,5.35371,0.50263,3.2465,0.07146,1,0,0.04632,0.50895
6513631/IGWN-GWTC2p1-v2-GW190925_232845_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,87963,5.36411,5.34576,0.09103,5.19028,5.44522,0.25494,1.7028,0.05011,1,0,0.08113,0.74128
6513631/IGWN-GWTC2p1-v2-GW190925_232845_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,164960,5.36467,5.34621,0.09148,5.18923,5.44585,0.25661,1.7112,0.05067,1,0,0.08292,0.74145
6513631/IGWN-GWTC2p1-v2-GW190926_050336_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,20327,5.20404,5.15146,0.22349,4.71915,5.41932,0.70017,4.3383,0.10996,1,0,-0.02025,0.49845
6513631/IGWN-GWTC2p1-v2-GW190926_050336_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,157760,5.26148,5.2129,0.19774,4.81925,5.44529,0.62605,3.7932,0.05252,1,0,-0.00762,0.57984
