file,median_n,median_mc,median_q,median_chi,n_samples
IGWN-GWTC2p1-v2-GW190814_211039_PEDataRelease_mixed_nocosmo.h5,4.188762470090854,6.106971455444639,0.11118042484774468,0.0038019126466795343,89500
IGWN-GWTC2p1-v2-GW190828_063405_PEDataRelease_mixed_cosmo.h5,5.423439724336081,24.599523222903972,0.823439697008132,0.153998734614198,42966
IGWN-GWTC2p1-v2-GW190828_063405_PEDataRelease_mixed_nocosmo.h5,5.42545056712989,24.343925720886947,0.8196961039661683,0.16038047497647281,128000
IGWN-GWTC2p1-v2-GW190828_065509_PEDataRelease_mixed_cosmo.h5,5.176848379215093,13.391754418259925,0.44135916112430057,0.05385835594510518,71723
IGWN-GWTC2p1-v2-GW190828_065509_PEDataRelease_mixed_nocosmo.h5,5.178376978899861,13.232888739542876,0.4419205797819034,0.05533929028775259,181548
IGWN-GWTC2p1-v2-GW190910_112807_PEDataRelease_mixed_cosmo.h5,5.346735761941002,32.88149137458521,0.7820509681380078,-0.011237937430067723,54830
IGWN-GWTC2p1-v2-GW190910_112807_PEDataRelease_mixed_nocosmo.h5,5.350093149723392,32.205449427545965,0.7868365216183619,-0.00537916406822961,159609
IGWN-GWTC2p1-v2-GW190915_235702_PEDataRelease_mixed_cosmo.h5,5.328490171953886,24.169906073984894,0.7685545115721067,-0.038765228368362395,50133
IGWN-GWTC2p1-v2-GW190915_235702_PEDataRelease_mixed_nocosmo.h5,5.3325085118370605,23.966979524917555,0.7714022849851221,-0.029704668074763702,144305
IGWN-GWTC2p1-v2-GW190916_200658_PEDataRelease_mixed_cosmo.h5,5.345318274663453,26.95072211837491,0.5569359756209291,0.19233217464314517,13058
IGWN-GWTC2p1-v2-GW190916_200658_PEDataRelease_mixed_nocosmo.h5,5.402769528073128,26.58962908154784,0.5936068973022217,0.27254811818238117,107199
IGWN-GWTC2p1-v2-GW190917_114630_PEDataRelease_mixed_cosmo.h5,4.661956702541705,3.6720971898504997,0.21061433511960248,-0.07597232123745312,12312
IGWN-GWTC2p1-v2-GW190917_114630_PEDataRelease_mixed_nocosmo.h5,4.660246899556988,3.657968124537379,0.21014466887151373,-0.07452582970449445,20000
IGWN-GWTC2p1-v2-GW190924_021846_PEDataRelease_mixed_cosmo.h5,5.242778678396234,5.787262155518982,0.5093966064928392,0.04570544296287018,32797
IGWN-GWTC2p1-v2-GW190924_021846_PEDataRelease_mixed_nocosmo.h5,5.242535605157702,5.772524422194992,0.5089502561896009,0.04632321162006651,46372
IGWN-GWTC2p1-v2-GW190925_232845_PEDataRelease_mixed_cosmo.h5,5.364111463364322,15.659087617492624,0.7412828359940976,0.0811281168912079,87963
IGWN-GWTC2p1-v2-GW190925_232845_PEDataRelease_mixed_nocosmo.h5,5.364671319330806,15.597424280293108,0.7414540419826703,0.08292220389527837,164960
IGWN-GWTC2p1-v2-GW190926_050336_PEDataRelease_mixed_cosmo.h5,5.204039747084921,24.289702188052438,0.4984535658589574,-0.0202454014799564,20327
IGWN-GWTC2p1-v2-GW190926_050336_PEDataRelease_mixed_nocosmo.h5,5.261476479911745,23.89084535361744,0.5798445761166894,-0.00761861551143982,157760
IGWN-GWTC2p1-v2-GW190929_012149_PEDataRelease_mixed_cosmo.h5,5.095865939543944,35.55455820663907,0.40336016782481976,-0.030582789500723902,30749
IGWN-GWTC2p1-v2-GW190929_012149_PEDataRelease_mixed_nocosmo.h5,5.144320663476886,34.80334831256809,0.4378090801246012,-0.02031734524865122,153782
IGWN-GWTC2p1-v2-GW190930_133541_PEDataRelease_mixed_cosmo.h5,5.348356792828522,8.51284902196925,0.6274376165962088,0.14723373002209073,80472
IGWN-GWTC2p1-v2-GW190930_133541_PEDataRelease_mixed_nocosmo.h5,5.348013947365393,8.475756602012671,0.6248544514248292,0.14868751941238179,137344
