event_file,catalog,waveform_key,median_n,in_bbh_band,n_posterior_samples,median_chi_eff,e_chi2_posterior,e_chi2_median2,beta_posterior,beta_median2,delta_beta,gb_old_beta,gb_new_beta,spin_cat
8177023/IGWN-GWTC3p0-v2-GW191216_213338_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.3247,1,315108,0.11733,0.028509,0.013767,0.94298,0.97247,-0.02948,0.87102,1.0,mid
8177023/IGWN-GWTC3p0-v2-GW191219_163120_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM:HighSpin,3.27267,0,20000,0.005,0.002319,2.5e-05,0.99536,0.99995,-0.00459,0.81864,1.0,near_zero
8177023/IGWN-GWTC3p0-v2-GW191222_033537_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.3257,1,135537,-0.03986,0.020083,0.001588,0.95983,0.99682,-0.03699,0.85417,1.0,near_zero
8177023/IGWN-GWTC3p0-v2-GW191230_180458_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.32517,1,139585,-0.03895,0.031227,0.001517,0.93755,0.99697,-0.05942,0.87645,1.0,near_zero
8177023/IGWN-GWTC3p0-v2-GW200105_162426_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,4.68829,0,20000,0.00069,0.016364,0.0,0.96727,1.0,-0.03273,0.84673,1.0,near_zero
8177023/IGWN-GWTC3p0-v2-GW200112_155838_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.3634,1,157304,0.04814,0.010248,0.002317,0.9795,0.99537,-0.01586,0.8345,1.0,near_zero
8177023/IGWN-GWTC3p0-v2-GW200115_042309_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM:HighSpin,4.74169,0,20000,-0.16874,0.074494,0.028473,0.85101,0.94305,-0.09204,0.96299,1.0,mid
8177023/IGWN-GWTC3p0-v2-GW200128_022011_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.3861,1,150506,0.0915,0.026578,0.008372,0.94684,0.98326,-0.03641,0.86716,1.0,low
8177023/IGWN-GWTC3p0-v2-GW200129_065458_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.38486,1,148072,0.10956,0.019607,0.012003,0.96079,0.97599,-0.01521,0.85321,1.0,mid
8177023/IGWN-GWTC3p0-v2-GW200202_154313_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.34602,1,170115,0.03626,0.008126,0.001315,0.98375,0.99737,-0.01362,0.83025,1.0,near_zero
8177023/IGWN-GWTC3p0-v2-GW200208_130117_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.30511,1,104414,-0.06466,0.028217,0.00418,0.94357,0.99164,-0.04807,0.87043,1.0,low
8177023/IGWN-GWTC3p0-v2-GW200208_222617_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.04559,1,209178,0.66692,0.409085,0.444777,0.18183,0.11045,0.07138,1.63217,1.0,high
8177023/IGWN-GWTC3p0-v2-GW200209_085452_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.30377,1,161419,-0.10655,0.04166,0.011354,0.91668,0.97729,-0.06061,0.89732,1.0,mid
8177023/IGWN-GWTC3p0-v2-GW200210_092254_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,4.22785,0,141688,0.03108,0.024277,0.000966,0.95145,0.99807,-0.04662,0.86255,1.0,near_zero
8177023/IGWN-GWTC3p0-v2-GW200216_220804_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.34859,1,145692,0.12547,0.055521,0.015742,0.88896,0.96852,-0.07956,0.92504,1.0,mid
8177023/IGWN-GWTC3p0-v2-GW200219_094415_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.30588,1,154656,-0.0841,0.031461,0.007072,0.93708,0.98586,-0.04878,0.87692,1.0,low
8177023/IGWN-GWTC3p0-v2-GW200220_061928_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.35991,1,123819,0.08048,0.060295,0.006477,0.87941,0.98705,-0.10764,0.93459,1.0,low
8177023/IGWN-GWTC3p0-v2-GW200220_124850_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.31584,1,96667,-0.05354,0.034344,0.002866,0.93131,0.99427,-0.06295,0.88269,1.0,low
8177023/IGWN-GWTC3p0-v2-GW200224_222234_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.39961,1,216261,0.10325,0.018346,0.01066,0.96331,0.97868,-0.01537,0.85069,1.0,mid
8177023/IGWN-GWTC3p0-v2-GW200225_060421_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.2858,1,195767,-0.12709,0.039429,0.016151,0.92114,0.9677,-0.04656,0.89286,1.0,mid
8177023/IGWN-GWTC3p0-v2-GW200302_015811_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.22511,1,104245,0.0131,0.023058,0.000172,0.95388,0.99966,-0.04577,0.86012,1.0,near_zero
8177023/IGWN-GWTC3p0-v2-GW200306_093714_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.421,1,116436,0.35688,0.144436,0.127364,0.71113,0.74527,-0.03414,1.10287,1.0,high
8177023/IGWN-GWTC3p0-v2-GW200308_173609_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.17086,1,132606,0.0576,0.102287,0.003318,0.79543,0.99336,-0.19794,1.01857,1.0,low
8177023/IGWN-GWTC3p0-v2-GW200311_115853_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.33905,1,202628,-0.03254,0.013087,0.001059,0.97383,0.99788,-0.02406,0.84017,1.0,near_zero
8177023/IGWN-GWTC3p0-v2-GW200316_215756_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.29347,1,134403,0.14885,0.048189,0.022157,0.90362,0.95569,-0.05206,0.91038,1.0,mid
8177023/IGWN-GWTC3p0-v2-GW200322_091133_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,4.63211,0,137340,0.03725,0.102115,0.001388,0.79577,0.99722,-0.20146,1.01823,1.0,near_zero
