event_file,catalog,event_type,waveform_key,median_n,std_n,in_bbh_band,median_chi_eff
8177023/IGWN-GWTC3p0-v2-GW200129_065458_PEDataRelease_mixed_nocosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.38486,0.10561,1,0.10956
8177023/IGWN-GWTC3p0-v2-GW200202_154313_PEDataRelease_mixed_nocosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.34602,0.08729,1,0.03626
8177023/IGWN-GWTC3p0-v2-GW200208_130117_PEDataRelease_mixed_nocosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.30511,0.10359,1,-0.06466
8177023/IGWN-GWTC3p0-v2-GW200208_222617_PEDataRelease_mixed_nocosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.04559,0.39244,1,0.66692
8177023/IGWN-GWTC3p0-v2-GW200209_085452_PEDataRelease_mixed_nocosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.30377,0.09325,1,-0.10655
8177023/IGWN-GWTC3p0-v2-GW200210_092254_PEDataRelease_mixed_nocosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,4.22785,0.15017,0,0.03108
8177023/IGWN-GWTC3p0-v2-GW200216_220804_PEDataRelease_mixed_nocosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.34859,0.22306,1,0.12547
8177023/IGWN-GWTC3p0-v2-GW200219_094415_PEDataRelease_mixed_nocosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.30588,0.09839,1,-0.0841
8177023/IGWN-GWTC3p0-v2-GW200220_061928_PEDataRelease_mixed_nocosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.35991,0.16681,1,0.08048
8177023/IGWN-GWTC3p0-v2-GW200220_124850_PEDataRelease_mixed_nocosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.31584,0.10604,1,-0.05354
8177023/IGWN-GWTC3p0-v2-GW200224_222234_PEDataRelease_mixed_nocosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.39961,0.0731,1,0.10325
8177023/IGWN-GWTC3p0-v2-GW200225_060421_PEDataRelease_mixed_nocosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.2858,0.09283,1,-0.12709
8177023/IGWN-GWTC3p0-v2-GW200302_015811_PEDataRelease_mixed_nocosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.22511,0.16147,1,0.0131
8177023/IGWN-GWTC3p0-v2-GW200306_093714_PEDataRelease_mixed_nocosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.421,0.26437,1,0.35688
8177023/IGWN-GWTC3p0-v2-GW200308_173609_PEDataRelease_mixed_nocosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.17086,0.53186,1,0.0576
8177023/IGWN-GWTC3p0-v2-GW200311_115853_PEDataRelease_mixed_nocosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.33905,0.07449,1,-0.03254
8177023/IGWN-GWTC3p0-v2-GW200316_215756_PEDataRelease_mixed_nocosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.29347,0.17645,1,0.14885
8177023/IGWN-GWTC3p0-v2-GW200322_091133_PEDataRelease_mixed_nocosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,4.63211,0.8829,0,0.03725
IGWN-GWTC4p0-0f954158d_720-GW230518_125908-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,4.55241,0.06338,0,-0.01241
IGWN-GWTC4p0-0f954158d_720-GW230529_181500-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM:HighSpin,5.06675,0.11441,1,-0.11246
IGWN-GWTC4p0-0f954158d_720-GW230601_224134-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.30293,0.11634,1,-0.02015
IGWN-GWTC4p0-0f954158d_720-GW230605_065343-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.3287,0.08123,1,0.06829
IGWN-GWTC4p0-0f954158d_720-GW230606_004305-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.2668,0.12462,1,-0.13613
IGWN-GWTC4p0-0f954158d_720-GW230608_205047-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.32344,0.15037,1,0.04976
IGWN-GWTC4p0-0f954158d_720-GW230609_064958-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.27794,0.10504,1,-0.14268
IGWN-GWTC4p0-0f954158d_720-GW230624_113103-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.34441,0.13217,1,0.13669
IGWN-GWTC4p0-0f954158d_720-GW230627_015337-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.33628,0.04277,1,0.02096
IGWN-GWTC4p0-0f954158d_720-GW230628_231200-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.36124,0.05125,1,-0.00228
IGWN-GWTC4p0-0f954158d_720-GW230630_125806-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.39305,0.18689,1,0.20262
IGWN-GWTC4p0-0f954158d_720-GW230630_234532-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.30131,0.07368,1,-0.04014
IGWN-GWTC4p0-0f954158d_720-GW230702_185453-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.13821,0.22133,1,0.05871
IGWN-GWTC4p0-0f954158d_720-GW230704_021211-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.28105,0.12649,1,-0.01389
IGWN-GWTC4p0-0f954158d_720-GW230704_212616-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.38206,0.25624,1,0.37719
IGWN-GWTC4p0-0f954158d_720-GW230706_104333-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.40878,0.07499,1,0.19291
IGWN-GWTC4p0-0f954158d_720-GW230707_124047-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.333,0.08199,1,-0.04347
IGWN-GWTC4p0-0f954158d_720-GW230708_053705-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.38436,0.07464,1,0.07729
IGWN-GWTC4p0-0f954158d_720-GW230708_230935-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.29116,0.16924,1,0.02428
IGWN-GWTC4p0-0f954158d_720-GW230709_122727-combined_PEDataRelease.hdf5,GWTC-4,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.35381,0.1688,1,0.09451
