event_file,event_type,waveform_key,median_n,std_n,median_redshift,median_lum_dist_Mpc,median_chi_eff,n_samples,in_bbh_band
IGWN-GWTC4p0-0f954158d_720-GW230922_040658-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.4457,0.22737,0.94946,6365.535,0.33778,14201,1
IGWN-GWTC4p0-0f954158d_720-GW230924_124453-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.36288,0.05297,0.41917,2362.28,0.01957,14630,1
IGWN-GWTC4p0-0f954158d_720-GW230927_043729-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.35326,0.07204,0.52869,3115.785,0.0071,13148,1
IGWN-GWTC4p0-0f954158d_720-GW230927_153832-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.35863,0.03783,0.22779,1167.987,0.04056,14161,1
IGWN-GWTC4p0-0f954158d_720-GW230928_215827-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.50068,0.16403,0.69744,4358.884,0.42045,19357,1
IGWN-GWTC4p0-0f954158d_720-GW230930_110730-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.34389,0.1146,0.76194,4856.9,0.02766,11732,1
IGWN-GWTC4p0-0f954158d_720-GW231001_140220-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.20984,0.18448,0.673,4173.326,-0.04788,16041,1
IGWN-GWTC4p0-0f954158d_720-GW231004_232346-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.20081,0.18936,0.65665,4050.186,-0.05118,15804,1
IGWN-GWTC4p0-0f954158d_720-GW231005_021030-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.31847,0.18777,0.93897,6278.933,0.11233,13730,1
IGWN-GWTC4p0-0f954158d_720-GW231005_091549-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.32519,0.10717,0.59381,3584.548,-0.03843,12902,1
IGWN-GWTC4p0-0f954158d_720-GW231008_142521-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.25411,0.18451,0.48168,2786.77,-0.02524,16800,1
