event_file,catalog,event_type,waveform_key,median_n,std_n,in_bbh_band,median_chi_eff,n_samples
8177023/IGWN-GWTC3p0-v2-GW191105_143521_PEDataRelease_mixed_nocosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.3138,0.08988,1,-0.01765,142741
8177023/IGWN-GWTC3p0-v2-GW191109_010717_PEDataRelease_mixed_cosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.21662,0.13503,1,-0.31121,109061
8177023/IGWN-GWTC3p0-v2-GW191109_010717_PEDataRelease_mixed_nocosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.22473,0.13003,1,-0.29381,270070
8177023/IGWN-GWTC3p0-v2-GW191113_071753_PEDataRelease_mixed_cosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,4.60658,0.29456,0,0.00325,52362
8177023/IGWN-GWTC3p0-v2-GW191113_071753_PEDataRelease_mixed_nocosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,4.64229,0.32157,0,0.01005,129899
8177023/IGWN-GWTC3p0-v2-GW191126_115259_PEDataRelease_mixed_cosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.40362,0.10175,1,0.21004,55315
8177023/IGWN-GWTC3p0-v2-GW191126_115259_PEDataRelease_mixed_nocosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.40293,0.10477,1,0.21218,158918
8177023/IGWN-GWTC3p0-v2-GW191127_050227_PEDataRelease_mixed_cosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.13709,0.46659,1,0.17683,27156
8177023/IGWN-GWTC3p0-v2-GW191127_050227_PEDataRelease_mixed_nocosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.30971,0.37063,1,0.25876,185048
8177023/IGWN-GWTC3p0-v2-GW191129_134029_PEDataRelease_mixed_cosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.30982,0.0912,1,0.06483,77231
8177023/IGWN-GWTC3p0-v2-GW191129_134029_PEDataRelease_mixed_nocosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.30884,0.0916,1,0.06575,135743
8177023/IGWN-GWTC3p0-v2-GW191204_110529_PEDataRelease_mixed_cosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.33959,0.14171,1,0.03726,41745
8177023/IGWN-GWTC3p0-v2-GW191204_110529_PEDataRelease_mixed_nocosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.34086,0.14486,1,0.04441,155223
8177023/IGWN-GWTC3p0-v2-GW191204_171526_PEDataRelease_mixed_cosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.38723,0.0632,1,0.15916,128624
8177023/IGWN-GWTC3p0-v2-GW191204_171526_PEDataRelease_mixed_nocosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.38686,0.06349,1,0.15941,206292
8177023/IGWN-GWTC3p0-v2-GW191215_223052_PEDataRelease_mixed_cosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.30972,0.07814,1,-0.05359,6913
8177023/IGWN-GWTC3p0-v2-GW191215_223052_PEDataRelease_mixed_nocosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.31361,0.07863,1,-0.0423,20000
8177023/IGWN-GWTC3p0-v2-GW191216_213338_PEDataRelease_mixed_cosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.32471,0.14014,1,0.11736,249520
8177023/IGWN-GWTC3p0-v2-GW191216_213338_PEDataRelease_mixed_nocosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.3247,0.14214,1,0.11733,315108
8177023/IGWN-GWTC3p0-v2-GW191219_163120_PEDataRelease_mixed_cosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM:HighSpin,3.27212,0.04671,0,0.00477,14965
8177023/IGWN-GWTC3p0-v2-GW191219_163120_PEDataRelease_mixed_nocosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM:HighSpin,3.27267,0.06026,0,0.005,20000
8177023/IGWN-GWTC3p0-v2-GW191222_033537_PEDataRelease_mixed_cosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.32091,0.09516,1,-0.05429,26560
8177023/IGWN-GWTC3p0-v2-GW191222_033537_PEDataRelease_mixed_nocosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.3257,0.09348,1,-0.03986,135537
8177023/IGWN-GWTC3p0-v2-GW191230_180458_PEDataRelease_mixed_cosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.31554,0.12508,1,-0.05857,21752
8177023/IGWN-GWTC3p0-v2-GW191230_180458_PEDataRelease_mixed_nocosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.32517,0.11144,1,-0.03895,139585
8177023/IGWN-GWTC3p0-v2-GW200105_162426_PEDataRelease_mixed_cosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM:HighSpin,4.68829,0.13669,0,0.00069,20000
8177023/IGWN-GWTC3p0-v2-GW200105_162426_PEDataRelease_mixed_nocosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,4.68829,0.13669,0,0.00069,20000
8177023/IGWN-GWTC3p0-v2-GW200112_155838_PEDataRelease_mixed_cosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.36123,0.06623,1,0.044,68706
8177023/IGWN-GWTC3p0-v2-GW200112_155838_PEDataRelease_mixed_nocosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.3634,0.06569,1,0.04814,157304
8177023/IGWN-GWTC3p0-v2-GW200115_042309_PEDataRelease_mixed_cosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM:HighSpin,4.7412,0.21086,0,-0.16812,16089
8177023/IGWN-GWTC3p0-v2-GW200115_042309_PEDataRelease_mixed_nocosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM:HighSpin,4.74169,0.21101,0,-0.16874,20000
8177023/IGWN-GWTC3p0-v2-GW200128_022011_PEDataRelease_mixed_cosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.38214,0.09514,1,0.07971,26969
8177023/IGWN-GWTC3p0-v2-GW200128_022011_PEDataRelease_mixed_nocosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.3861,0.09111,1,0.0915,150506
8177023/IGWN-GWTC3p0-v2-GW200129_065458_PEDataRelease_mixed_cosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.38488,0.10739,1,0.10751,87429
