event,catalog,waveform,erad_strategy,per_sample_chi,M_total_Msun,chi_eff_med,chi_eff_std,redshift,lum_dist_Mpc,mass_ratio,n_seraphim,n_sph_std,n_carrier_schwarz,n_carrier_kerr,kerr_delta_n,n_BBH_theory,gap_schwarz,gap_kerr,alpha_inv,delta_schwarz,delta_kerr,log2_M
GW190719_215514,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,57.1791,0.25,0.2001,0.613,3725.1728,0.5558,5.364594,0.291803,137.469349,137.185049,-0.284299,5.313987,132.104755,131.820456,137.035999,-4.931244,-5.215543,5.837417
GW190719_215514,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,55.3494,0.3041,0.208,0.7518,4777.4918,0.5618,5.397818,0.258313,137.422428,137.081683,-0.340744,5.313987,132.024609,131.683865,137.035999,-5.01139,-5.352134,5.790496
GW190720_000836,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,21.7909,0.174,0.0857,0.1543,757.5404,0.5544,5.328987,0.126499,136.077588,135.891543,-0.186045,5.313987,130.748602,130.562556,137.035999,-6.287398,-6.473443,4.445656
GW190720_000836,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,21.6999,0.175,0.0861,0.1574,774.5284,0.553,5.328458,0.127103,136.071548,135.88593,-0.185617,5.313987,130.743089,130.557472,137.035999,-6.29291,-6.478527,4.439616
GW190725_174728,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,18.3061,-0.0389,0.1687,0.2028,1025.4497,0.5332,5.223844,0.222924,135.826185,135.875861,0.049676,5.313987,130.602341,130.652017,137.035999,-6.433658,-6.383982,4.194253
GW190725_174728,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,18.1626,-0.0356,0.1696,0.2139,1088.3469,0.5292,5.22203,0.223477,135.814829,135.864289,0.04946,5.313987,130.592799,130.642259,137.035999,-6.4432,-6.39374,4.182897
GW190727_060333,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,68.625,0.0839,0.151,0.5146,3016.3828,0.7858,5.381241,0.110366,137.732594,137.650654,-0.08194,5.313987,132.351353,132.269412,137.035999,-4.684646,-4.766587,6.100662
GW190727_060333,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,67.8058,0.0989,0.1487,0.5455,3235.4501,0.7882,5.387847,0.10183,137.715269,137.610831,-0.104438,5.313987,132.327421,132.222983,137.035999,-4.708578,-4.813016,6.083337
GW190728_064510,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,20.9488,0.1402,0.1157,0.1761,876.3991,0.6016,5.343041,0.172984,136.020731,135.855698,-0.165033,5.313987,130.67769,130.512657,137.035999,-6.358309,-6.523342,4.388799
GW190728_064510,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,20.8066,0.1395,0.1176,0.1816,906.63,0.6046,5.344114,0.176106,136.010905,135.849753,-0.161152,5.313987,130.666791,130.505639,137.035999,-6.369208,-6.53036,4.378973
