catalog,cut_level,cut_desc,event,median_n,std_n,is_nsbh,erad_field
GWTC-4,4,Remove std_n > 0.15,GW231223_032836,5.2397,0.1687,no,radiated_energy_non_evolved
GWTC-4,4,Remove std_n > 0.15,GW231230_170116,5.2289,0.1830,no,radiated_energy_non_evolved
GWTC-4,4,Remove std_n > 0.15,GW240107_013215,5.3701,0.2823,no,radiated_energy_non_evolved
GWTC-3,5,Remove std_n > 0.20 AND NSBH outliers,GW191113_071753,4.6065,0.2946,yes,radiated_energy
GWTC-3,5,Remove std_n > 0.20 AND NSBH outliers,GW191113_071753,4.6422,0.3216,yes,radiated_energy
GWTC-3,5,Remove std_n > 0.20 AND NSBH outliers,GW191127_050227,5.1370,0.4666,no,radiated_energy
GWTC-3,5,Remove std_n > 0.20 AND NSBH outliers,GW191127_050227,5.3096,0.3706,no,radiated_energy
GWTC-3,5,Remove std_n > 0.20 AND NSBH outliers,GW191219_163120,3.2721,0.0467,yes,radiated_energy
GWTC-3,5,Remove std_n > 0.20 AND NSBH outliers,GW191219_163120,3.2726,0.0603,yes,radiated_energy
GWTC-3,5,Remove std_n > 0.20 AND NSBH outliers,GW200105_162426,4.6882,0.1367,yes,radiated_energy
GWTC-3,5,Remove std_n > 0.20 AND NSBH outliers,GW200105_162426,4.6882,0.1367,yes,radiated_energy
GWTC-3,5,Remove std_n > 0.20 AND NSBH outliers,GW200115_042309,4.7411,0.2109,yes,radiated_energy
GWTC-3,5,Remove std_n > 0.20 AND NSBH outliers,GW200115_042309,4.7416,0.2110,yes,radiated_energy
GWTC-3,5,Remove std_n > 0.20 AND NSBH outliers,GW200208_222617,4.8922,0.4282,no,radiated_energy
GWTC-3,5,Remove std_n > 0.20 AND NSBH outliers,GW200208_222617,5.0455,0.3924,no,radiated_energy
GWTC-3,5,Remove std_n > 0.20 AND NSBH outliers,GW200210_092254,4.2239,0.1463,yes,radiated_energy
GWTC-3,5,Remove std_n > 0.20 AND NSBH outliers,GW200210_092254,4.2278,0.1502,yes,radiated_energy
GWTC-3,5,Remove std_n > 0.20 AND NSBH outliers,GW200216_220804,5.2999,0.2801,no,radiated_energy
GWTC-3,5,Remove std_n > 0.20 AND NSBH outliers,GW200216_220804,5.3485,0.2231,no,radiated_energy
GWTC-3,5,Remove std_n > 0.20 AND NSBH outliers,GW200220_061928,5.3328,0.2349,no,radiated_energy
GWTC-3,5,Remove std_n > 0.20 AND NSBH outliers,GW200306_093714,5.3764,0.2867,no,radiated_energy
GWTC-3,5,Remove std_n > 0.20 AND NSBH outliers,GW200306_093714,5.4209,0.2644,no,radiated_energy
GWTC-3,5,Remove std_n > 0.20 AND NSBH outliers,GW200308_173609,5.1854,0.5331,no,radiated_energy
GWTC-3,5,Remove std_n > 0.20 AND NSBH outliers,GW200308_173609,5.1708,0.5319,no,radiated_energy
GWTC-3,5,Remove std_n > 0.20 AND NSBH outliers,GW200322_091133,5.0262,0.7843,no,radiated_energy
GWTC-3,5,Remove std_n > 0.20 AND NSBH outliers,GW200322_091133,4.6320,0.8829,no,radiated_energy
GWTC-2.1,5,Remove std_n > 0.20 AND NSBH outliers,GW151012_095443,5.2837,0.2088,no,radiated_energy
GWTC-2.1,5,Remove std_n > 0.20 AND NSBH outliers,GW151012_095443,5.2952,0.2038,no,radiated_energy
GWTC-2.1,5,Remove std_n > 0.20 AND NSBH outliers,GW190403_051519,5.2141,0.3438,no,radiated_energy
GWTC-2.1,5,Remove std_n > 0.20 AND NSBH outliers,GW190403_051519,5.4001,0.2927,no,radiated_energy
GWTC-2.1,5,Remove std_n > 0.20 AND NSBH outliers,GW190413_134308,5.2738,0.2039,no,radiated_energy
GWTC-2.1,5,Remove std_n > 0.20 AND NSBH outliers,GW190517_055101,5.5222,0.2130,no,radiated_energy
GWTC-2.1,5,Remove std_n > 0.20 AND NSBH outliers,GW190521_030229,5.2065,0.2731,no,radiated_energy
GWTC-2.1,5,Remove std_n > 0.20 AND NSBH outliers,GW190521_030229,5.3059,0.2199,no,radiated_energy
GWTC-2.1,5,Remove std_n > 0.20 AND NSBH outliers,GW190527_092055,5.3125,0.2651,no,radiated_energy
GWTC-2.1,5,Remove std_n > 0.20 AND NSBH outliers,GW190527_092055,5.3427,0.2331,no,radiated_energy
GWTC-2.1,5,Remove std_n > 0.20 AND NSBH outliers,GW190620_030421,5.4050,0.2555,no,radiated_energy
GWTC-2.1,5,Remove std_n > 0.20 AND NSBH outliers,GW190620_030421,5.4396,0.2150,no,radiated_energy
GWTC-2.1,5,Remove std_n > 0.20 AND NSBH outliers,GW190706_222641,5.3676,0.2168,no,radiated_energy
GWTC-2.1,5,Remove std_n > 0.20 AND NSBH outliers,GW190719_215514,5.3646,0.2918,no,radiated_energy
GWTC-2.1,5,Remove std_n > 0.20 AND NSBH outliers,GW190719_215514,5.3978,0.2583,no,radiated_energy
