event_file,median_n,std_n,median_q,median_chi_eff,valid_samples
IGWN-GWTC3p0-v2-GW191222_033537_PEDataRelease_mixed_cosmo.h5,5.320906822701844,0.0951645188982972,0.7839951498817535,-0.05429098682067979,26560
IGWN-GWTC3p0-v2-GW200220_124850_PEDataRelease_mixed_nocosmo.h5,5.315843688105985,0.10603708229611909,0.7600807005214463,-0.05353936467861953,96667
IGWN-GWTC3p0-v2-GW200208_130117_PEDataRelease_mixed_cosmo.h5,5.293667034676604,0.10772745902042412,0.7253017286931123,-0.08538250653465061,38722
IGWN-GWTC3p0-v2-GW191105_143521_PEDataRelease_mixed_nocosmo.h5,5.313803521704789,0.08987896333310276,0.6905691573834765,-0.017647744268944776,142741
IGWN-GWTC3p0-v2-GW191109_010717_PEDataRelease_mixed_nocosmo.h5,5.22472613740697,0.13002952821598251,0.7380144035032099,-0.2938055577203851,270070
IGWN-GWTC3p0-v2-GW200115_042309_PEDataRelease_mixed_nocosmo.h5,4.691437461586086,0.3356190296062064,0.19730579196323397,-0.04082316316672391,20000
IGWN-GWTC3p0-v2-GW191216_213338_PEDataRelease_mixed_cosmo.h5,5.324705401632269,0.14013935447003167,0.5807484759161085,0.11735532953404293,249520
IGWN-GWTC3p0-v2-GW200208_222617_PEDataRelease_mixed_cosmo.h5,4.892264615346308,0.4282040615198885,0.14319754348389646,0.623656504883682,24495
IGWN-GWTC3p0-v2-GW191126_115259_PEDataRelease_mixed_nocosmo.h5,5.402932577224243,0.10476713658589933,0.6767021682130471,0.2121771939548795,158918
IGWN-GWTC3p0-v2-GW191230_180458_PEDataRelease_mixed_cosmo.h5,5.315540624114343,0.12508351498634146,0.7670887165344721,-0.058569278782671964,21752
IGWN-GWTC3p0-v2-GW200115_042309_PEDataRelease_mixed_cosmo.h5,4.6904743714112485,0.3348505648616136,0.1971842948015757,-0.04023516226497792,16110
IGWN-GWTC3p0-v2-GW191113_071753_PEDataRelease_mixed_cosmo.h5,4.606583923203871,0.29456279107000705,0.19038603311378666,0.0032470383065666547,52362
IGWN-GWTC3p0-v2-GW200311_115853_PEDataRelease_mixed_cosmo.h5,5.338182062322796,0.07607318745984401,0.7982099490669425,-0.0356626587552786,109150
IGWN-GWTC3p0-v2-GW191219_163120_PEDataRelease_mixed_nocosmo.h5,3.3495561798097135,0.8117862934490182,0.04043231670605304,-0.03623484387665209,20000
IGWN-GWTC3p0-v2-GW200220_061928_PEDataRelease_mixed_nocosmo.h5,5.359908290335076,0.16680738755571603,0.7364433491361254,0.08048096159163554,123819
IGWN-GWTC3p0-v2-GW200219_094415_PEDataRelease_mixed_nocosmo.h5,5.305880211415734,0.09839436971843578,0.7673187663438188,-0.08409558397486575,154656
IGWN-GWTC3p0-v2-GW200129_065458_PEDataRelease_mixed_cosmo.h5,5.3848849569979915,0.10739458766609404,0.725071222712852,0.1075117549490457,87429
IGWN-GWTC3p0-v2-GW200302_015811_PEDataRelease_mixed_nocosmo.h5,5.225113140296843,0.1614660135823997,0.5069973063533926,0.013104580315997694,104245
IGWN-GWTC3p0-v2-GW191129_134029_PEDataRelease_mixed_cosmo.h5,5.309820965780827,0.09119734147733391,0.5989775924327422,0.06482744925816544,77231
IGWN-GWTC3p0-v2-GW191219_163120_PEDataRelease_mixed_cosmo.h5,3.3502276400481046,0.8074997031540516,0.04050999663190429,-0.037859784673099896,12270
IGWN-GWTC3p0-v2-GW191230_180458_PEDataRelease_mixed_nocosmo.h5,5.325167775979349,0.11143930484637768,0.7748022082694999,-0.038948541129225626,139585
